sku_candidato,nombre_fuente,categoria_fuente_slug,subcategoria_fuente_slug,producto_url,imagen_url_externa,titulo_imagen_fuente,ultima_actualizacion_fuente,estado_contenido,estado_imagen,notas,sku_fuente,nombre_catalogo,categoria_url_fuente,imagen_thumbnail_url
CC-ALAMBRE-AISLADO-N12-AMARILLO-X-ROLLO,Alambre Aislado N12 Amarillo X Rollo,alambre-cable-thhn-thw-cu,alambres-thhn-thwn-2,https://cablescolombia.com/producto/alambre-aislado-n12-amarillo-x-rollo,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/79717/47fb236c4203dea8.webp,Alambre Aislado N12 Amarillo X Rollo,2026-08-02,requiere_revision,requiere_permiso,"Inventario desde sitemap público. Validar SKU, ficha técnica, descripción propia, categoría Surtilec y permiso de imagen antes de importar.",,,,
CC-ALAMBRE-AISLADO-N12-AZUL-X-ROLLO,Alambre Aislado N12 Azul X Rollo,alambre-cable-thhn-thw-cu,alambres-thhn-thwn-2,https://cablescolombia.com/producto/alambre-aislado-n12-azul-x-rollo,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/79718/5fdeb86f762932ce.webp,Alambre Aislado N12 Azul X Rollo,2026-08-02,requiere_revision,requiere_permiso,"Inventario desde sitemap público. Validar SKU, ficha técnica, descripción propia, categoría Surtilec y permiso de imagen antes de importar.",,,,
CC-ALAMBRE-AISLADO-N12-BLANCO-X-ROLLO,Alambre Aislado N12 Blanco X Rollo,alambre-cable-thhn-thw-cu,alambres-thhn-thwn-2,https://cablescolombia.com/producto/alambre-aislado-n12-blanco-x-rollo,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/79719/9f830ade3caf2956.webp,Alambre Aislado N12 Blanco X Rollo,2026-08-02,requiere_revision,requiere_permiso,"Inventario desde sitemap público. Validar SKU, ficha técnica, descripción propia, categoría Surtilec y permiso de imagen antes de importar.",,,,
CC-ALAMBRE-AISLADO-N12-NEGRO-X-ROLLO,Alambre Aislado N12 Negro X Rollo,alambre-cable-thhn-thw-cu,alambres-thhn-thwn-2,https://cablescolombia.com/producto/alambre-aislado-n12-negro-x-rollo,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/79720/a2461a049e2a385e.webp,Alambre Aislado N12 Negro X Rollo,2026-08-02,requiere_revision,requiere_permiso,"Inventario desde sitemap público. Validar SKU, ficha técnica, descripción propia, categoría Surtilec y permiso de imagen antes de importar.",,,,
CC-ALAMBRE-AISLADO-N12-ROJO-X-ROLLO,Alambre Aislado N12 Rojo X Rollo,alambre-cable-thhn-thw-cu,alambres-thhn-thwn-2,https://cablescolombia.com/producto/alambre-aislado-n12-rojo-x-rollo,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/79721/aee67ab04303227a.webp,Alambre Aislado N12 Rojo X Rollo,2026-08-02,requiere_revision,requiere_permiso,"Inventario desde sitemap público. Validar SKU, ficha técnica, descripción propia, categoría Surtilec y permiso de imagen antes de importar.",,,,
CC-ALAMBRE-AISLADO-N12-VERDE-X-ROLLO,Alambre Aislado N12 Verde X Rollo,alambre-cable-thhn-thw-cu,alambres-thhn-thwn-2,https://cablescolombia.com/producto/alambre-aislado-n12-verde-x-rollo,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/79722/3730e890e11db553.webp,Alambre Aislado N12 Verde X Rollo,2026-08-02,requiere_revision,requiere_permiso,"Inventario desde sitemap público. Validar SKU, ficha técnica, descripción propia, categoría Surtilec y permiso de imagen antes de importar.",,,,
CC-ALAMBRE-AISLADO-N14-AMARILLO-X-METRO,Alambre Aislado N14 Amarillo X Metro,alambre-cable-thhn-thw-cu,alambres-thhn-thwn-2,https://cablescolombia.com/producto/alambre-aislado-n14-amarillo-x-metro,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/378/3e73669878de5b2b.webp,Alambre Aislado N14 Amarillo X Metro,2026-08-02,requiere_revision,requiere_permiso,"Inventario desde sitemap público. Validar SKU, ficha técnica, descripción propia, categoría Surtilec y permiso de imagen antes de importar.",10011483-AM,Alambre Aislado N14 Amarillo X Metro,https://cablescolombia.com/categoria/alambre-cable-thhn-thw-cu/alambres-thhn-thwn-2,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/378/thumb/6f9879eb82e44b5f68264999f87ae23a.webp
CC-ALAMBRE-AISLADO-N14-AZUL-X-METRO,Alambre Aislado N14 Azul X Metro,alambre-cable-thhn-thw-cu,alambres-thhn-thwn-2,https://cablescolombia.com/producto/alambre-aislado-n14-azul-x-metro,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/383/47a60dfd87ffb0cc.webp,Alambre Aislado N14 Azul X Metro,2026-08-02,requiere_revision,requiere_permiso,"Inventario desde sitemap público. Validar SKU, ficha técnica, descripción propia, categoría Surtilec y permiso de imagen antes de importar.",,,,
CC-ALAMBRE-AISLADO-N14-BLANCO-X-METRO,Alambre Aislado N14 Blanco X Metro,alambre-cable-thhn-thw-cu,alambres-thhn-thwn-2,https://cablescolombia.com/producto/alambre-aislado-n14-blanco-x-metro,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/388/c82c0e2e4681c142.webp,Alambre Aislado N14 Blanco X Metro,2026-08-02,requiere_revision,requiere_permiso,"Inventario desde sitemap público. Validar SKU, ficha técnica, descripción propia, categoría Surtilec y permiso de imagen antes de importar.",,,,
CC-ALAMBRE-AISLADO-N14-ROJO-X-METRO,Alambre Aislado N14 Rojo X Metro,alambre-cable-thhn-thw-cu,alambres-thhn-thwn-2,https://cablescolombia.com/producto/alambre-aislado-n14-rojo-x-metro,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/395/35b82b549dbf89e3.webp,Alambre Aislado N14 Rojo X Metro,2026-08-02,requiere_revision,requiere_permiso,"Inventario desde sitemap público. Validar SKU, ficha técnica, descripción propia, categoría Surtilec y permiso de imagen antes de importar.",,,,
