sku,nombre,estado_staging,source_key,nota_staging
SRT-PENDING-70D84407714D,Pendiente de verificación - Alambre Aislado N10 Amarillo X Metro,pendiente_investigacion,CC-ALAMBRE-AISLADO-N10-AMARILLO-X-METRO,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
SRT-PENDING-5CF53639D7B1,Pendiente de verificación - Alambre Aislado N10 Azul X Metro,pendiente_investigacion,CC-ALAMBRE-AISLADO-N10-AZUL-X-METRO-6,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
SRT-PENDING-5C3DCAA96773,Pendiente de verificación - Alambre Aislado N10 Blanco X Metro,pendiente_investigacion,CC-ALAMBRE-AISLADO-N10-BLANCO-X-METRO,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
SRT-PENDING-936DED368A99,Pendiente de verificación - Alambre Aislado N10 Negro X Metro,pendiente_investigacion,CC-ALAMBRE-AISLADO-N10-NEGRO-X-METRO,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
SRT-PENDING-4DB22C8C2B3C,Pendiente de verificación - Alambre Aislado N10 Rojo X Metro,pendiente_investigacion,CC-ALAMBRE-AISLADO-N10-ROJO-X-METRO,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
SRT-PENDING-884A01319AA2,Pendiente de verificación - Alambre Aislado N10 Verde X Metro,pendiente_investigacion,CC-ALAMBRE-AISLADO-N10-VERDE-X-METRO,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
SRT-PENDING-E1E5B737ED58,Pendiente de verificación - Alambre Aislado N8 Amarillo X Metro,pendiente_investigacion,CC-ALAMBRE-AISLADO-N8-AMARILLO-X-METRO,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
SRT-PENDING-66B9A018EE33,Pendiente de verificación - Alambre Aislado N8 Azul X Metro,pendiente_investigacion,CC-ALAMBRE-AISLADO-N8-AZUL-X-METRO,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
SRT-PENDING-266DB75795E4,Pendiente de verificación - Alambre Aislado N8 Blanco X Metro,pendiente_investigacion,CC-ALAMBRE-AISLADO-N8-BLANCO-X-METRO,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
SRT-PENDING-824826305DC2,Pendiente de verificación - Alambre Aislado N8 Negro X Metro,pendiente_investigacion,CC-ALAMBRE-AISLADO-N8-NEGRO-X-METRO,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
SRT-PENDING-FBFCC917B264,Pendiente de verificación - Alambre Aislado N8 Rojo X Metro,pendiente_investigacion,CC-ALAMBRE-AISLADO-N8-ROJO-X-METRO,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
SRT-PENDING-9EECB1397244,Pendiente de verificación - Alambre Aislado N8 Verde X Metro,pendiente_investigacion,CC-ALAMBRE-AISLADO-N8-VERDE-X-METRO,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
SRT-PENDING-4C332162507B,Pendiente de verificación - Alambre Aislado N10 Azul X Metro,pendiente_investigacion,CC-ALAMBRE-AISLADO-N10-AZUL-X-METRO,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
SRT-PENDING-C526999CC316,Pendiente de verificación - Cable Aislado Thhw Cu N14 Rojo,pendiente_investigacion,CC-CABLE-AISLADO-THHW-CU-N14-ROJO,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
SRT-PENDING-0C9C276CC06B,Pendiente de verificación - Cable Aislado Thhw Cu N14 Azul,pendiente_investigacion,CC-CABLE-AISLADO-THHW-CU-N14-AZUL,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
SRT-PENDING-6CE65FDFB4CD,Pendiente de verificación - Cable Aislado Thhw Cu N14 Blanco,pendiente_investigacion,CC-CABLE-AISLADO-THHW-CU-N14-BLANCO,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
SRT-PENDING-D60273BF0E1F,Pendiente de verificación - Cable Aislado Thhw Cu N14 Negro,pendiente_investigacion,CC-CABLE-AISLADO-THHW-CU-N14-NEGRO,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
SRT-PENDING-04E75D17520F,Pendiente de verificación - Cable Aislado Thhw Cu N14 Verde,pendiente_investigacion,CC-CABLE-AISLADO-THHW-CU-N14-VERDE,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
