sku,estado_investigacion,familia_contrastada,fuente_interna,datos_publicables,datos_pendientes,estado_imagen
SRT-PENDING-70D84407714D,familia_verificada_no_referencia_exacta,Alambre/cable THHN/THWN-2 600 V,https://www.nexans.co/es/products/Construcci%C3%B3n/Cables-de-Cobre-de-Baja-Tensi%C3%B3n-Aislados/Cable-THHN-THWN-2/Cable-Type24144.html,Calibre: 10 AWG | Color indicado: amarillo | Material indicado: cobre | Aislamiento o chaqueta indicada: termoplástico,Marca y referencia de fabricante; ficha exacta; norma de la referencia; presentación disponible; coincidencia visual de variante.,revisar_variante_antes_de_publicar
SRT-PENDING-5CF53639D7B1,familia_verificada_no_referencia_exacta,Alambre/cable THHN/THWN-2 600 V,https://www.nexans.co/es/products/Construcci%C3%B3n/Cables-de-Cobre-de-Baja-Tensi%C3%B3n-Aislados/Cable-THHN-THWN-2/Cable-Type24144.html,Calibre: 10 AWG | Color indicado: azul | Material indicado: cobre | Aislamiento o chaqueta indicada: termoplástico,Marca y referencia de fabricante; ficha exacta; norma de la referencia; presentación disponible; coincidencia visual de variante.,revisar_variante_antes_de_publicar
SRT-PENDING-5C3DCAA96773,familia_verificada_no_referencia_exacta,Alambre/cable THHN/THWN-2 600 V,https://www.nexans.co/es/products/Construcci%C3%B3n/Cables-de-Cobre-de-Baja-Tensi%C3%B3n-Aislados/Cable-THHN-THWN-2/Cable-Type24144.html,Calibre: 10 AWG | Color indicado: blanco | Material indicado: cobre | Aislamiento o chaqueta indicada: termoplástico,Marca y referencia de fabricante; ficha exacta; norma de la referencia; presentación disponible; coincidencia visual de variante.,revisar_variante_antes_de_publicar
SRT-PENDING-936DED368A99,familia_verificada_no_referencia_exacta,Alambre/cable THHN/THWN-2 600 V,https://www.nexans.co/es/products/Construcci%C3%B3n/Cables-de-Cobre-de-Baja-Tensi%C3%B3n-Aislados/Cable-THHN-THWN-2/Cable-Type24144.html,Calibre: 10 AWG | Color indicado: negro | Material indicado: cobre | Aislamiento o chaqueta indicada: termoplástico,Marca y referencia de fabricante; ficha exacta; norma de la referencia; presentación disponible; coincidencia visual de variante.,revisar_variante_antes_de_publicar
SRT-PENDING-4DB22C8C2B3C,familia_verificada_no_referencia_exacta,Alambre/cable THHN/THWN-2 600 V,https://www.nexans.co/es/products/Construcci%C3%B3n/Cables-de-Cobre-de-Baja-Tensi%C3%B3n-Aislados/Cable-THHN-THWN-2/Cable-Type24144.html,Calibre: 10 AWG | Color indicado: rojo | Material indicado: cobre | Aislamiento o chaqueta indicada: termoplástico,Marca y referencia de fabricante; ficha exacta; norma de la referencia; presentación disponible; coincidencia visual de variante.,revisar_variante_antes_de_publicar
SRT-PENDING-884A01319AA2,familia_verificada_no_referencia_exacta,Alambre/cable THHN/THWN-2 600 V,https://www.nexans.co/es/products/Construcci%C3%B3n/Cables-de-Cobre-de-Baja-Tensi%C3%B3n-Aislados/Cable-THHN-THWN-2/Cable-Type24144.html,Calibre: 10 AWG | Color indicado: verde | Material indicado: cobre | Aislamiento o chaqueta indicada: termoplástico,Marca y referencia de fabricante; ficha exacta; norma de la referencia; presentación disponible; coincidencia visual de variante.,revisar_variante_antes_de_publicar
SRT-PENDING-E1E5B737ED58,familia_verificada_no_referencia_exacta,Alambre/cable THHN/THWN-2 600 V,https://www.nexans.co/es/products/Construcci%C3%B3n/Cables-de-Cobre-de-Baja-Tensi%C3%B3n-Aislados/Cable-THHN-THWN-2/Cable-Type24144.html,Calibre: 8 AWG | Color indicado: amarillo | Material indicado: cobre | Aislamiento o chaqueta indicada: termoplástico,Marca y referencia de fabricante; ficha exacta; norma de la referencia; presentación disponible; coincidencia visual de variante.,revisar_variante_antes_de_publicar
SRT-PENDING-66B9A018EE33,familia_verificada_no_referencia_exacta,Alambre/cable THHN/THWN-2 600 V,https://www.nexans.co/es/products/Construcci%C3%B3n/Cables-de-Cobre-de-Baja-Tensi%C3%B3n-Aislados/Cable-THHN-THWN-2/Cable-Type24144.html,Calibre: 8 AWG | Color indicado: azul | Material indicado: cobre | Aislamiento o chaqueta indicada: termoplástico,Marca y referencia de fabricante; ficha exacta; norma de la referencia; presentación disponible; coincidencia visual de variante.,revisar_variante_antes_de_publicar
SRT-PENDING-266DB75795E4,familia_verificada_no_referencia_exacta,Alambre/cable THHN/THWN-2 600 V,https://www.nexans.co/es/products/Construcci%C3%B3n/Cables-de-Cobre-de-Baja-Tensi%C3%B3n-Aislados/Cable-THHN-THWN-2/Cable-Type24144.html,Calibre: 8 AWG | Color indicado: blanco | Material indicado: cobre | Aislamiento o chaqueta indicada: termoplástico,Marca y referencia de fabricante; ficha exacta; norma de la referencia; presentación disponible; coincidencia visual de variante.,revisar_variante_antes_de_publicar
SRT-PENDING-824826305DC2,familia_verificada_no_referencia_exacta,Alambre/cable THHN/THWN-2 600 V,https://www.nexans.co/es/products/Construcci%C3%B3n/Cables-de-Cobre-de-Baja-Tensi%C3%B3n-Aislados/Cable-THHN-THWN-2/Cable-Type24144.html,Calibre: 8 AWG | Color indicado: negro | Material indicado: cobre | Aislamiento o chaqueta indicada: termoplástico,Marca y referencia de fabricante; ficha exacta; norma de la referencia; presentación disponible; coincidencia visual de variante.,revisar_variante_antes_de_publicar
SRT-PENDING-FBFCC917B264,familia_verificada_no_referencia_exacta,Alambre/cable THHN/THWN-2 600 V,https://www.nexans.co/es/products/Construcci%C3%B3n/Cables-de-Cobre-de-Baja-Tensi%C3%B3n-Aislados/Cable-THHN-THWN-2/Cable-Type24144.html,Calibre: 8 AWG | Color indicado: rojo | Material indicado: cobre | Aislamiento o chaqueta indicada: termoplástico,Marca y referencia de fabricante; ficha exacta; norma de la referencia; presentación disponible; coincidencia visual de variante.,revisar_variante_antes_de_publicar
SRT-PENDING-9EECB1397244,familia_verificada_no_referencia_exacta,Alambre/cable THHN/THWN-2 600 V,https://www.nexans.co/es/products/Construcci%C3%B3n/Cables-de-Cobre-de-Baja-Tensi%C3%B3n-Aislados/Cable-THHN-THWN-2/Cable-Type24144.html,Calibre: 8 AWG | Color indicado: verde | Material indicado: cobre | Aislamiento o chaqueta indicada: termoplástico,Marca y referencia de fabricante; ficha exacta; norma de la referencia; presentación disponible; coincidencia visual de variante.,revisar_variante_antes_de_publicar
