sku,referencia_fabricante,marca,proveedor,fuente_datos_url,ficha_tecnica_url,fuente_imagen_url,estado_fuente,estado_imagen,verificado_en,notas
SRT-PENDING-70D84407714D,,Producto genérico Surtilec,Surtilec - investigación técnica de familia,https://www.nexans.co/es/products/Construcci%C3%B3n/Cables-de-Cobre-de-Baja-Tensi%C3%B3n-Aislados/Cable-THHN-THWN-2/Cable-Type24144.html,https://www.nexans.co/es/products/Construcci%C3%B3n/Cables-de-Cobre-de-Baja-Tensi%C3%B3n-Aislados/Cable-THHN-THWN-2/Cable-Type24144.html,,generica_verificada,autorizada,2026-08-03,Se contrastó la familia técnica Alambre/cable THHN/THWN-2 600 V. No se asigna una referencia ni marca de fabricante por semejanza. El SKU interno SRT-PENDING-70D84407714D es la referencia comercial de Surtilec hasta confirmar la referencia suministrada.
SRT-PENDING-5CF53639D7B1,,Producto genérico Surtilec,Surtilec - investigación técnica de familia,https://www.nexans.co/es/products/Construcci%C3%B3n/Cables-de-Cobre-de-Baja-Tensi%C3%B3n-Aislados/Cable-THHN-THWN-2/Cable-Type24144.html,https://www.nexans.co/es/products/Construcci%C3%B3n/Cables-de-Cobre-de-Baja-Tensi%C3%B3n-Aislados/Cable-THHN-THWN-2/Cable-Type24144.html,,generica_verificada,autorizada,2026-08-03,Se contrastó la familia técnica Alambre/cable THHN/THWN-2 600 V. No se asigna una referencia ni marca de fabricante por semejanza. El SKU interno SRT-PENDING-5CF53639D7B1 es la referencia comercial de Surtilec hasta confirmar la referencia suministrada.
SRT-PENDING-5C3DCAA96773,,Producto genérico Surtilec,Surtilec - investigación técnica de familia,https://www.nexans.co/es/products/Construcci%C3%B3n/Cables-de-Cobre-de-Baja-Tensi%C3%B3n-Aislados/Cable-THHN-THWN-2/Cable-Type24144.html,https://www.nexans.co/es/products/Construcci%C3%B3n/Cables-de-Cobre-de-Baja-Tensi%C3%B3n-Aislados/Cable-THHN-THWN-2/Cable-Type24144.html,,generica_verificada,autorizada,2026-08-03,Se contrastó la familia técnica Alambre/cable THHN/THWN-2 600 V. No se asigna una referencia ni marca de fabricante por semejanza. El SKU interno SRT-PENDING-5C3DCAA96773 es la referencia comercial de Surtilec hasta confirmar la referencia suministrada.
SRT-PENDING-936DED368A99,,Producto genérico Surtilec,Surtilec - investigación técnica de familia,https://www.nexans.co/es/products/Construcci%C3%B3n/Cables-de-Cobre-de-Baja-Tensi%C3%B3n-Aislados/Cable-THHN-THWN-2/Cable-Type24144.html,https://www.nexans.co/es/products/Construcci%C3%B3n/Cables-de-Cobre-de-Baja-Tensi%C3%B3n-Aislados/Cable-THHN-THWN-2/Cable-Type24144.html,,generica_verificada,autorizada,2026-08-03,Se contrastó la familia técnica Alambre/cable THHN/THWN-2 600 V. No se asigna una referencia ni marca de fabricante por semejanza. El SKU interno SRT-PENDING-936DED368A99 es la referencia comercial de Surtilec hasta confirmar la referencia suministrada.
SRT-PENDING-4DB22C8C2B3C,,Producto genérico Surtilec,Surtilec - investigación técnica de familia,https://www.nexans.co/es/products/Construcci%C3%B3n/Cables-de-Cobre-de-Baja-Tensi%C3%B3n-Aislados/Cable-THHN-THWN-2/Cable-Type24144.html,https://www.nexans.co/es/products/Construcci%C3%B3n/Cables-de-Cobre-de-Baja-Tensi%C3%B3n-Aislados/Cable-THHN-THWN-2/Cable-Type24144.html,,generica_verificada,autorizada,2026-08-03,Se contrastó la familia técnica Alambre/cable THHN/THWN-2 600 V. No se asigna una referencia ni marca de fabricante por semejanza. El SKU interno SRT-PENDING-4DB22C8C2B3C es la referencia comercial de Surtilec hasta confirmar la referencia suministrada.
SRT-PENDING-884A01319AA2,,Producto genérico Surtilec,Surtilec - investigación técnica de familia,https://www.nexans.co/es/products/Construcci%C3%B3n/Cables-de-Cobre-de-Baja-Tensi%C3%B3n-Aislados/Cable-THHN-THWN-2/Cable-Type24144.html,https://www.nexans.co/es/products/Construcci%C3%B3n/Cables-de-Cobre-de-Baja-Tensi%C3%B3n-Aislados/Cable-THHN-THWN-2/Cable-Type24144.html,,generica_verificada,autorizada,2026-08-03,Se contrastó la familia técnica Alambre/cable THHN/THWN-2 600 V. No se asigna una referencia ni marca de fabricante por semejanza. El SKU interno SRT-PENDING-884A01319AA2 es la referencia comercial de Surtilec hasta confirmar la referencia suministrada.
SRT-PENDING-E1E5B737ED58,,Producto genérico Surtilec,Surtilec - investigación técnica de familia,https://www.nexans.co/es/products/Construcci%C3%B3n/Cables-de-Cobre-de-Baja-Tensi%C3%B3n-Aislados/Cable-THHN-THWN-2/Cable-Type24144.html,https://www.nexans.co/es/products/Construcci%C3%B3n/Cables-de-Cobre-de-Baja-Tensi%C3%B3n-Aislados/Cable-THHN-THWN-2/Cable-Type24144.html,,generica_verificada,autorizada,2026-08-03,Se contrastó la familia técnica Alambre/cable THHN/THWN-2 600 V. No se asigna una referencia ni marca de fabricante por semejanza. El SKU interno SRT-PENDING-E1E5B737ED58 es la referencia comercial de Surtilec hasta confirmar la referencia suministrada.
SRT-PENDING-66B9A018EE33,,Producto genérico Surtilec,Surtilec - investigación técnica de familia,https://www.nexans.co/es/products/Construcci%C3%B3n/Cables-de-Cobre-de-Baja-Tensi%C3%B3n-Aislados/Cable-THHN-THWN-2/Cable-Type24144.html,https://www.nexans.co/es/products/Construcci%C3%B3n/Cables-de-Cobre-de-Baja-Tensi%C3%B3n-Aislados/Cable-THHN-THWN-2/Cable-Type24144.html,,generica_verificada,autorizada,2026-08-03,Se contrastó la familia técnica Alambre/cable THHN/THWN-2 600 V. No se asigna una referencia ni marca de fabricante por semejanza. El SKU interno SRT-PENDING-66B9A018EE33 es la referencia comercial de Surtilec hasta confirmar la referencia suministrada.
SRT-PENDING-266DB75795E4,,Producto genérico Surtilec,Surtilec - investigación técnica de familia,https://www.nexans.co/es/products/Construcci%C3%B3n/Cables-de-Cobre-de-Baja-Tensi%C3%B3n-Aislados/Cable-THHN-THWN-2/Cable-Type24144.html,https://www.nexans.co/es/products/Construcci%C3%B3n/Cables-de-Cobre-de-Baja-Tensi%C3%B3n-Aislados/Cable-THHN-THWN-2/Cable-Type24144.html,,generica_verificada,autorizada,2026-08-03,Se contrastó la familia técnica Alambre/cable THHN/THWN-2 600 V. No se asigna una referencia ni marca de fabricante por semejanza. El SKU interno SRT-PENDING-266DB75795E4 es la referencia comercial de Surtilec hasta confirmar la referencia suministrada.
SRT-PENDING-824826305DC2,,Producto genérico Surtilec,Surtilec - investigación técnica de familia,https://www.nexans.co/es/products/Construcci%C3%B3n/Cables-de-Cobre-de-Baja-Tensi%C3%B3n-Aislados/Cable-THHN-THWN-2/Cable-Type24144.html,https://www.nexans.co/es/products/Construcci%C3%B3n/Cables-de-Cobre-de-Baja-Tensi%C3%B3n-Aislados/Cable-THHN-THWN-2/Cable-Type24144.html,,generica_verificada,autorizada,2026-08-03,Se contrastó la familia técnica Alambre/cable THHN/THWN-2 600 V. No se asigna una referencia ni marca de fabricante por semejanza. El SKU interno SRT-PENDING-824826305DC2 es la referencia comercial de Surtilec hasta confirmar la referencia suministrada.
SRT-PENDING-FBFCC917B264,,Producto genérico Surtilec,Surtilec - investigación técnica de familia,https://www.nexans.co/es/products/Construcci%C3%B3n/Cables-de-Cobre-de-Baja-Tensi%C3%B3n-Aislados/Cable-THHN-THWN-2/Cable-Type24144.html,https://www.nexans.co/es/products/Construcci%C3%B3n/Cables-de-Cobre-de-Baja-Tensi%C3%B3n-Aislados/Cable-THHN-THWN-2/Cable-Type24144.html,,generica_verificada,autorizada,2026-08-03,Se contrastó la familia técnica Alambre/cable THHN/THWN-2 600 V. No se asigna una referencia ni marca de fabricante por semejanza. El SKU interno SRT-PENDING-FBFCC917B264 es la referencia comercial de Surtilec hasta confirmar la referencia suministrada.
