sku,nombre_surtilec,nombre_fuente_coincidencia_exacta,producto_url_fuente,imagen_url_fuente,metodo_coincidencia,confianza,estado_imagen_actual,accion_recomendada
SRT-PENDING-70D84407714D,"Alambre THHN/THW 10 AWG Cobre Sólido, Amarillo",Alambre Aislado N10 Amarillo X Metro,https://cablescolombia.com/producto/alambre-aislado-n10-amarillo-x-metro,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/419/b7d1416abfad7457.webp,nombre_original_fuente_exacto,alta,revisar_variante_antes_de_publicar,descargar_y_asignar_imagen_exacta
SRT-PENDING-5CF53639D7B1,"Alambre THHN/THW 10 AWG Cobre Sólido, Azul",Alambre Aislado N10 Azul X Metro,https://cablescolombia.com/producto/alambre-aislado-n10-azul-x-metro,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/420/bb3d7c4af1f68969.webp,nombre_original_fuente_exacto_y_url_fuente,alta,revisar_variante_antes_de_publicar,descargar_y_asignar_imagen_exacta
SRT-PENDING-5C3DCAA96773,"Alambre THHN/THW 10 AWG Cobre Sólido, Blanco",Alambre Aislado N10 Blanco X Metro,https://cablescolombia.com/producto/alambre-aislado-n10-blanco-x-metro,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/422/247c7e6be0f0a1fa.webp,nombre_original_fuente_exacto,alta,revisar_variante_antes_de_publicar,descargar_y_asignar_imagen_exacta
SRT-PENDING-936DED368A99,"Alambre THHN/THW 10 AWG Cobre Sólido, Negro",Alambre Aislado N10 Negro X Metro,https://cablescolombia.com/producto/alambre-aislado-n10-negro-x-metro,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/425/9f0c90f2cfd1ae2f.webp,nombre_original_fuente_exacto,alta,revisar_variante_antes_de_publicar,descargar_y_asignar_imagen_exacta
SRT-PENDING-4DB22C8C2B3C,"Alambre THHN/THW 10 AWG Cobre Sólido, Rojo",Alambre Aislado N10 Rojo X Metro,https://cablescolombia.com/producto/alambre-aislado-n10-rojo-x-metro,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/426/d4b65a78a230aa5e.webp,nombre_original_fuente_exacto,alta,revisar_variante_antes_de_publicar,descargar_y_asignar_imagen_exacta
SRT-PENDING-884A01319AA2,"Alambre THHN/THW 10 AWG Cobre Sólido, Verde",Alambre Aislado N10 Verde X Metro,https://cablescolombia.com/producto/alambre-aislado-n10-verde-x-metro,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/429/ac4b62577fded7da.webp,nombre_original_fuente_exacto,alta,revisar_variante_antes_de_publicar,descargar_y_asignar_imagen_exacta
SRT-PENDING-E1E5B737ED58,"Alambre THHN/THW 8 AWG Cobre Sólido, Amarillo",Alambre Aislado N8 Amarillo X Metro,https://cablescolombia.com/producto/alambre-aislado-n8-amarillo-x-metro,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/432/c9f9e40ad8e23d88.webp,nombre_original_fuente_exacto,alta,revisar_variante_antes_de_publicar,descargar_y_asignar_imagen_exacta
SRT-PENDING-66B9A018EE33,"Alambre THHN/THW 8 AWG Cobre Sólido, Azul",Alambre Aislado N8 Azul X Metro,https://cablescolombia.com/producto/alambre-aislado-n8-azul-x-metro,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/434/336bb36f8bfd9b23.webp,nombre_original_fuente_exacto,alta,revisar_variante_antes_de_publicar,descargar_y_asignar_imagen_exacta
SRT-PENDING-266DB75795E4,"Alambre THHN/THW 8 AWG Cobre Sólido, Blanco",Alambre Aislado N8 Blanco X Metro,https://cablescolombia.com/producto/alambre-aislado-n8-blanco-x-metro,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/436/c0b6f12eeb5be84e.webp,nombre_original_fuente_exacto,alta,revisar_variante_antes_de_publicar,descargar_y_asignar_imagen_exacta
SRT-PENDING-824826305DC2,"Alambre THHN/THW 8 AWG Cobre Sólido, Negro",Alambre Aislado N8 Negro X Metro,https://cablescolombia.com/producto/alambre-aislado-n8-negro-x-metro,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/441/b70072516d1e9b64.webp,nombre_original_fuente_exacto,alta,revisar_variante_antes_de_publicar,descargar_y_asignar_imagen_exacta
SRT-PENDING-FBFCC917B264,"Alambre THHN/THW 8 AWG Cobre Sólido, Rojo",Alambre Aislado N8 Rojo X Metro,https://cablescolombia.com/producto/alambre-aislado-n8-rojo-x-metro,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/443/f7107075dcea9835.webp,nombre_original_fuente_exacto,alta,revisar_variante_antes_de_publicar,descargar_y_asignar_imagen_exacta
