sku,nombre_tecnico_seo,image_file,sha256,image_match_status_original,estado_auditoria,accion_recomendada,url_imagen_reutilizada_en_skus,observaciones
SRT-PENDING-70D84407714D,"Alambre THHN/THW 10 AWG Cobre Sólido, Amarillo",surtilec-alambre-thhn-thw-10-awg-cobre-solido-amarillo-srt-pending-70d84407714d.webp,0529a0b64aa166721f2da32a7ee2e84d7f3de7e12fcb7a279fa91498a71a33d6,revisar_variante_antes_de_publicar,no_coincidencia_exacta_fuente_reutilizada,retirar_imagen_destacada_y_conservar_adjunto_en_revision,13,"IMAGEN GENÉRICA DE FAMILIA (100% familia, material n/d) tomada de ""Alambre Aislado N10 Azul X Metro"" en cablescolombia.com. COLOR DISTINTO (amarillo vs azul). Reemplazar por foto exacta antes de publicar."
SRT-PENDING-5CF53639D7B1,"Alambre THHN/THW 10 AWG Cobre Sólido, Azul",surtilec-alambre-thhn-thw-10-awg-cobre-solido-azul-srt-pending-5cf53639d7b1.webp,0529a0b64aa166721f2da32a7ee2e84d7f3de7e12fcb7a279fa91498a71a33d6,revisar_variante_antes_de_publicar,no_coincidencia_exacta_fuente_reutilizada,retirar_imagen_destacada_y_conservar_adjunto_en_revision,13,"Imagen sugerida automáticamente desde cablescolombia.com — similitud 100% con ""Alambre Aislado N10 Azul X Metro"". Verificar visualmente y obtener permiso antes de publicar."
SRT-PENDING-5C3DCAA96773,"Alambre THHN/THW 10 AWG Cobre Sólido, Blanco",surtilec-alambre-thhn-thw-10-awg-cobre-solido-blanco-srt-pending-5c3dcaa96773.webp,0529a0b64aa166721f2da32a7ee2e84d7f3de7e12fcb7a279fa91498a71a33d6,revisar_variante_antes_de_publicar,no_coincidencia_exacta_fuente_reutilizada,retirar_imagen_destacada_y_conservar_adjunto_en_revision,13,"IMAGEN GENÉRICA DE FAMILIA (100% familia, material n/d) tomada de ""Alambre Aislado N10 Azul X Metro"" en cablescolombia.com. COLOR DISTINTO (blanco vs azul). Reemplazar por foto exacta antes de publicar."
SRT-PENDING-936DED368A99,"Alambre THHN/THW 10 AWG Cobre Sólido, Negro",surtilec-alambre-thhn-thw-10-awg-cobre-solido-negro-srt-pending-936ded368a99.webp,0529a0b64aa166721f2da32a7ee2e84d7f3de7e12fcb7a279fa91498a71a33d6,revisar_variante_antes_de_publicar,no_coincidencia_exacta_fuente_reutilizada,retirar_imagen_destacada_y_conservar_adjunto_en_revision,13,"IMAGEN GENÉRICA DE FAMILIA (100% familia, material n/d) tomada de ""Alambre Aislado N10 Azul X Metro"" en cablescolombia.com. COLOR DISTINTO (negro vs azul). Reemplazar por foto exacta antes de publicar."
SRT-PENDING-4DB22C8C2B3C,"Alambre THHN/THW 10 AWG Cobre Sólido, Rojo",surtilec-alambre-thhn-thw-10-awg-cobre-solido-rojo-srt-pending-4db22c8c2b3c.webp,0529a0b64aa166721f2da32a7ee2e84d7f3de7e12fcb7a279fa91498a71a33d6,revisar_variante_antes_de_publicar,no_coincidencia_exacta_fuente_reutilizada,retirar_imagen_destacada_y_conservar_adjunto_en_revision,13,"IMAGEN GENÉRICA DE FAMILIA (100% familia, material n/d) tomada de ""Alambre Aislado N10 Azul X Metro"" en cablescolombia.com. COLOR DISTINTO (rojo vs azul). Reemplazar por foto exacta antes de publicar."
SRT-PENDING-884A01319AA2,"Alambre THHN/THW 10 AWG Cobre Sólido, Verde",surtilec-alambre-thhn-thw-10-awg-cobre-solido-verde-srt-pending-884a01319aa2.webp,0529a0b64aa166721f2da32a7ee2e84d7f3de7e12fcb7a279fa91498a71a33d6,revisar_variante_antes_de_publicar,no_coincidencia_exacta_fuente_reutilizada,retirar_imagen_destacada_y_conservar_adjunto_en_revision,13,"IMAGEN GENÉRICA DE FAMILIA (100% familia, material n/d) tomada de ""Alambre Aislado N10 Azul X Metro"" en cablescolombia.com. COLOR DISTINTO (verde vs azul). Reemplazar por foto exacta antes de publicar."
SRT-PENDING-E1E5B737ED58,"Alambre THHN/THW 8 AWG Cobre Sólido, Amarillo",surtilec-alambre-thhn-thw-8-awg-cobre-solido-amarillo-srt-pending-e1e5b737ed58.webp,0529a0b64aa166721f2da32a7ee2e84d7f3de7e12fcb7a279fa91498a71a33d6,revisar_variante_antes_de_publicar,no_coincidencia_exacta_fuente_reutilizada,retirar_imagen_destacada_y_conservar_adjunto_en_revision,13,"IMAGEN GENÉRICA DE FAMILIA (100% familia, material n/d) tomada de ""Alambre Aislado N10 Azul X Metro"" en cablescolombia.com. COLOR DISTINTO (amarillo vs azul). Reemplazar por foto exacta antes de publicar."
SRT-PENDING-66B9A018EE33,"Alambre THHN/THW 8 AWG Cobre Sólido, Azul",surtilec-alambre-thhn-thw-8-awg-cobre-solido-azul-srt-pending-66b9a018ee33.webp,0529a0b64aa166721f2da32a7ee2e84d7f3de7e12fcb7a279fa91498a71a33d6,revisar_variante_antes_de_publicar,no_coincidencia_exacta_fuente_reutilizada,retirar_imagen_destacada_y_conservar_adjunto_en_revision,13,"IMAGEN GENÉRICA DE FAMILIA (100% familia/material/color) tomada de ""Alambre Aislado N10 Azul X Metro"" en cablescolombia.com — mismo tipo y color, calibre distinto. Reemplazar por foto exacta antes de publicar."
SRT-PENDING-266DB75795E4,"Alambre THHN/THW 8 AWG Cobre Sólido, Blanco",surtilec-alambre-thhn-thw-8-awg-cobre-solido-blanco-srt-pending-266db75795e4.webp,0529a0b64aa166721f2da32a7ee2e84d7f3de7e12fcb7a279fa91498a71a33d6,revisar_variante_antes_de_publicar,no_coincidencia_exacta_fuente_reutilizada,retirar_imagen_destacada_y_conservar_adjunto_en_revision,13,"IMAGEN GENÉRICA DE FAMILIA (100% familia, material n/d) tomada de ""Alambre Aislado N10 Azul X Metro"" en cablescolombia.com. COLOR DISTINTO (blanco vs azul). Reemplazar por foto exacta antes de publicar."
SRT-PENDING-824826305DC2,"Alambre THHN/THW 8 AWG Cobre Sólido, Negro",surtilec-alambre-thhn-thw-8-awg-cobre-solido-negro-srt-pending-824826305dc2.webp,0529a0b64aa166721f2da32a7ee2e84d7f3de7e12fcb7a279fa91498a71a33d6,revisar_variante_antes_de_publicar,no_coincidencia_exacta_fuente_reutilizada,retirar_imagen_destacada_y_conservar_adjunto_en_revision,13,"IMAGEN GENÉRICA DE FAMILIA (100% familia, material n/d) tomada de ""Alambre Aislado N10 Azul X Metro"" en cablescolombia.com. COLOR DISTINTO (negro vs azul). Reemplazar por foto exacta antes de publicar."
