id,sku,titulo,familia,familia_etiqueta,confianza,regla,marca,categorias
107,31303326000,Cu (cobre) desnudo blando 8 AWG,cobre-desnudo,Conductor de cobre desnudo,alta,desnudo,Procables,Alambre desnudo|Conductores desnudos
108,31303259000,Cu (cobre) desnudo blando 10 AWG,cobre-desnudo,Conductor de cobre desnudo,alta,desnudo,Procables,Alambre desnudo|Conductores desnudos
109,31303205000,Cu (cobre) desnudo blando 12 AWG,cobre-desnudo,Conductor de cobre desnudo,alta,desnudo,Procables,Alambre desnudo|Conductores desnudos
110,31303163000,Cu (cobre) desnudo blando 14 AWG,cobre-desnudo,Conductor de cobre desnudo,alta,desnudo,Procables,Alambre desnudo|Conductores desnudos
111,31321038000,Cable Cu (cobre) desnudo blando 350 kcmil (B) 37H,cobre-desnudo,Conductor de cobre desnudo,alta,desnudo,Procables,Cable desnudo|Conductores desnudos
112,31321034000,Cable Cu (cobre) desnudo blando 250 kcmil (B) 37H,cobre-desnudo,Conductor de cobre desnudo,alta,desnudo,Procables,Cable desnudo|Conductores desnudos
113,31319011000,Cable Cu (cobre) desnudo blando 4/0 AWG (B) 19H,cobre-desnudo,Conductor de cobre desnudo,alta,desnudo,Procables,Cable desnudo|Conductores desnudos
115,31321026000,Cable Cu (cobre) desnudo blando 1/0 AWG (B) 19H,cobre-desnudo,Conductor de cobre desnudo,alta,desnudo,Procables,Cable desnudo|Conductores desnudos
116,31321024000,Cable Cu (cobre) desnudo blando 2 AWG (B) 7H,cobre-desnudo,Conductor de cobre desnudo,alta,desnudo,Procables,Cable desnudo|Conductores desnudos
117,31321022000,Cable Cu (cobre) desnudo blando 4 AWG (B) 7H,cobre-desnudo,Conductor de cobre desnudo,alta,desnudo,Procables,Cable desnudo|Conductores desnudos
118,31321020000,Cable Cu (cobre) desnudo blando 6 AWG (B) 7H,cobre-desnudo,Conductor de cobre desnudo,alta,desnudo,Procables,Cable desnudo|Conductores desnudos
119,31321018000,Cable Cu (cobre) desnudo blando 8 AWG (B) 7H,cobre-desnudo,Conductor de cobre desnudo,alta,desnudo,Procables,Cable desnudo|Conductores desnudos
120,31321016000,Cable Cu (cobre) desnudo blando 10 AWG (B)7H,cobre-desnudo,Conductor de cobre desnudo,alta,desnudo,Procables,Cable desnudo|Conductores desnudos
121,31353140001,THHN/THWN-2 8 AWG 600V 90°C,thhn-thwn-tffn,Alambre THHN/THWN-2,alta,\bTHHN\b|\bTHWN\b|\bTHHW\b|\bTFFN\b|\bTFN\b,Procables,Cable THHN / THWN-2
122,31353140002,THHN/THWN-2 8 AWG Cu (cobre) 600V90°C,thhn-thwn-tffn,Alambre THHN/THWN-2,alta,\bTHHN\b|\bTHWN\b|\bTHHW\b|\bTFFN\b|\bTFN\b,Procables,Cable THHN / THWN-2
123,31353100001,THHN/THWN-2 10 AWG Cu600V 90°C,thhn-thwn-tffn,Alambre THHN/THWN-2,alta,\bTHHN\b|\bTHWN\b|\bTHHW\b|\bTFFN\b|\bTFN\b,Procables,Cable THHN / THWN-2
124,31353080001,THHN/THWN-2 12AWG Cu (cobre) 600V90°C,thhn-thwn-tffn,Alambre THHN/THWN-2,alta,\bTHHN\b|\bTHWN\b|\bTHHW\b|\bTFFN\b|\bTFN\b,Procables,Cable THHN / THWN-2
125,31353060001,THHN/THWN-2 14AWG Cu (cobre) 600V90°C,thhn-thwn-tffn,Alambre THHN/THWN-2,alta,\bTHHN\b|\bTHWN\b|\bTHHW\b|\bTFFN\b|\bTFN\b,Procables,Cable THHN / THWN-2
126,31353040001,THHN/THWN-2 16 AWG Cu (cobre) 600V90°C,thhn-thwn-tffn,Alambre THHN/THWN-2,alta,\bTHHN\b|\bTHWN\b|\bTHHW\b|\bTFFN\b|\bTFN\b,Procables,Cable THHN / THWN-2
127,31353020001,THHN/THWN-2 18 AWG Cu (cobre) 600V90°C,thhn-thwn-tffn,Alambre THHN/THWN-2,alta,\bTHHN\b|\bTHWN\b|\bTHHW\b|\bTFFN\b|\bTFN\b,Procables,Cable THHN / THWN-2
128,31353101001,Cable THHN/THWN-2 2×10 AWG Cu (cobre) 600V 90°C,thhn-thwn-tffn,Alambre THHN/THWN-2,alta,\bTHHN\b|\bTHWN\b|\bTHHW\b|\bTFFN\b|\bTFN\b,Procables,Cable THHN / THWN-2
129,31353081001,Cable THHN/THWN-2 2×12 AWG Cu (cobre) 600V 90°C,thhn-thwn-tffn,Alambre THHN/THWN-2,alta,\bTHHN\b|\bTHWN\b|\bTHHW\b|\bTFFN\b|\bTFN\b,Procables,Cable THHN / THWN-2
130,31353061001,Cable THHN/THWN-2 2×14 AWG Cu (cobre) 600V 90°C,thhn-thwn-tffn,Alambre THHN/THWN-2,alta,\bTHHN\b|\bTHWN\b|\bTHHW\b|\bTFFN\b|\bTFN\b,Procables,Cable THHN / THWN-2
131,31353149901,Cable THHN/THWN-2 8 AWG Cu (cobre) 600V 90°C 7H (XD),thhn-thwn-tffn,Alambre THHN/THWN-2,alta,\bTHHN\b|\bTHWN\b|\bTHHW\b|\bTFFN\b|\bTFN\b,Procables,Cable THHN / THWN-2
132,31352605601,THHN/THWN-2 6 AWG Cu (cobre) 600V 90° flexible,thhn-thwn-tffn,Alambre THHN/THWN-2,alta,\bTHHN\b|\bTHWN\b|\bTHHW\b|\bTFFN\b|\bTFN\b,Procables,Cable THHN / THWN-2
133,31352604801,THHN/THWN-2 4 AWG Cu (cobre) 600V 90° flexible,thhn-thwn-tffn,Alambre THHN/THWN-2,alta,\bTHHN\b|\bTHWN\b|\bTHHW\b|\bTFFN\b|\bTFN\b,Procables,Cable THHN / THWN-2
134,31352603601,THHN/THWN-2 2 AWG Cu (cobre) 600V 90° flexible,thhn-thwn-tffn,Alambre THHN/THWN-2,alta,\bTHHN\b|\bTHWN\b|\bTHHW\b|\bTFFN\b|\bTFN\b,Procables,Cable THHN / THWN-2
135,31352602801,THHN/THWN-2 1/0 AWG Cu (cobre) 600V 90° flexible,thhn-thwn-tffn,Alambre THHN/THWN-2,alta,\bTHHN\b|\bTHWN\b|\bTHHW\b|\bTFFN\b|\bTFN\b,Procables,Cable THHN / THWN-2
136,31352602401,THHN/THWN-2 2/0 AWG Cu (cobre) 600V 90° flexible,thhn-thwn-tffn,Alambre THHN/THWN-2,alta,\bTHHN\b|\bTHWN\b|\bTHHW\b|\bTFFN\b|\bTFN\b,Procables,Cable THHN / THWN-2
