familia,familia_etiqueta,productos,estado_derechos,titular_imagen,referencia_derechos,fecha_derechos,tipo_asset,nota
vntc-bandeja,Cable VNTC para bandeja,130,pendiente,"","","","",""
pltc-tc-instrumentacion,Cable PLTC/TC de instrumentación,103,pendiente,"","","","",""
thhn-thwn-tffn,Alambre THHN/THWN-2,98,pendiente,"","","","",""
xlpe-xptc,Cable XLPE/XPTC,87,pendiente,"","","","",""
soow-portatil,Cordón portátil SOOW encauchetado,83,pendiente,"","","","",""
frep-cpe,Cable FREP/CPE,77,pendiente,"","","","",""
vntc-apantallado,Cable VNTC apantallado,50,pendiente,"","","","",""
termoflex-multiproposito,Cable Termoflex multipropósito,39,pendiente,"","","","",""
alta-temperatura,Cable de alta temperatura,38,pendiente,"","","","",""
tipo-w-epdm,Cable tipo W EPDM,37,pendiente,"","","","",""
sdn-neopreno,Multiconductor SDN en neopreno,29,pendiente,"","","","",""
srml-srg-k,Cable SRML/SRG-K de silicona,29,pendiente,"","","","",""
termopar,Cable para termopar,26,pendiente,"","","","",""
red-utp,Cable de red UTP/FTP,23,pendiente,"","","","",""
acsr-aluminio,Conductor de aluminio ACSR,23,pendiente,"","","","",""
minero-tipo-g-ggc,Cable minero tipo G/GGC,20,pendiente,"","","","",""
spt-duplex-triplex,Cable SPT dúplex/tríplex,18,pendiente,"","","","",""
cobre-desnudo,Conductor de cobre desnudo,18,pendiente,"","","","",""
dlo,Cable DLO,17,pendiente,"","","","",""
cobre-estanado-hookup,Alambre de cobre estañado,17,pendiente,"","","","",""
soldadura,Cable para soldadura,15,pendiente,"","","","",""
exzhellent,Cable Exzhellent,14,pendiente,"","","","",""
fibra-optica,Cable de fibra óptica,10,pendiente,"","","","",""
feston,Cable festón,7,pendiente,"","","","",""
bus-bajante,Cable bus bajante,7,pendiente,"","","","",""
superflex-flexible,Cable flexible Superflex,7,pendiente,"","","","",""
multiconductor-datos-audio,Multiconductor de datos y audio,6,pendiente,"","","","",""
tfe-mil,Cable TFE-E MIL-16878,6,pendiente,"","","","",""
fep-tipo-k,Cable FEP tipo K,5,pendiente,"","","","",""
antifraude,Cable antifraude TSEC,5,pendiente,"","","","",""
puente-epr,Cable puente EPR,4,pendiente,"","","","",""
solar-pv,Cable solar fotovoltaico,4,pendiente,"","","","",""
sumergible-bomba,Cable plano sumergible para bomba,4,pendiente,"","","","",""
coaxial,Cable coaxial,4,pendiente,"","","","",""
armado-mc-aia,Cable armado MC/AIA,3,pendiente,"","","","",""
iluminacion-led,Iluminación LED,2,pendiente,"","","","",""
lszh-tc-er,Cable LSZH TC-ER,2,pendiente,"","","","",""
gto-alta-tension,Cable GTO de alta tensión,1,pendiente,"","","","",""
