id,sku,titulo,categorias,marca,atributos
107,31303326000,"Cu (cobre) desnudo blando 8 AWG","Alambre desnudo|Conductores desnudos",Procables,pa_marca|pa_calibre-awg|pa_norma|pa_aplicacion
108,31303259000,"Cu (cobre) desnudo blando 10 AWG","Alambre desnudo|Conductores desnudos",Procables,pa_marca|pa_calibre-awg|pa_norma|pa_aplicacion
109,31303205000,"Cu (cobre) desnudo blando 12 AWG","Alambre desnudo|Conductores desnudos",Procables,pa_marca|pa_calibre-awg|pa_norma|pa_aplicacion
110,31303163000,"Cu (cobre) desnudo blando 14 AWG","Alambre desnudo|Conductores desnudos",Procables,pa_marca|pa_calibre-awg|pa_norma|pa_aplicacion
111,31321038000,"Cable Cu (cobre) desnudo blando 350 kcmil (B) 37H","Cable desnudo|Conductores desnudos",Procables,pa_marca|pa_calibre-awg|pa_norma|pa_aplicacion
112,31321034000,"Cable Cu (cobre) desnudo blando 250 kcmil (B) 37H","Cable desnudo|Conductores desnudos",Procables,pa_marca|pa_calibre-awg|pa_norma|pa_aplicacion
113,31319011000,"Cable Cu (cobre) desnudo blando 4/0 AWG (B) 19H","Cable desnudo|Conductores desnudos",Procables,pa_marca|pa_calibre-awg|pa_norma|pa_aplicacion
115,31321026000,"Cable Cu (cobre) desnudo blando 1/0 AWG (B) 19H","Cable desnudo|Conductores desnudos",Procables,pa_marca|pa_calibre-awg|pa_norma|pa_aplicacion
116,31321024000,"Cable Cu (cobre) desnudo blando 2 AWG (B) 7H","Cable desnudo|Conductores desnudos",Procables,pa_marca|pa_calibre-awg|pa_norma|pa_aplicacion
117,31321022000,"Cable Cu (cobre) desnudo blando 4 AWG (B) 7H","Cable desnudo|Conductores desnudos",Procables,pa_marca|pa_calibre-awg|pa_norma|pa_aplicacion
118,31321020000,"Cable Cu (cobre) desnudo blando 6 AWG (B) 7H","Cable desnudo|Conductores desnudos",Procables,pa_marca|pa_calibre-awg|pa_norma|pa_aplicacion
119,31321018000,"Cable Cu (cobre) desnudo blando 8 AWG (B) 7H","Cable desnudo|Conductores desnudos",Procables,pa_marca|pa_calibre-awg|pa_norma|pa_aplicacion
120,31321016000,"Cable Cu (cobre) desnudo blando 10 AWG (B)7H","Cable desnudo|Conductores desnudos",Procables,pa_marca|pa_calibre-awg|pa_norma|pa_aplicacion
155,31405170001,"TSEC 2×6+6 AWG Cu (cobre)-XLPUV/PE 600V 75°C CDSA","Antifraude TSEC|Cables de acometida",Procables,pa_marca|pa_calibre-awg|pa_numero-conductores|pa_voltaje|pa_norma|pa_aplicacion
156,31405170002,"TSEC 2×6+6 AWG Cu (cobre)-XLPUV/PE 600V 90°C CDSA","Antifraude TSEC|Cables de acometida",Procables,pa_marca|pa_calibre-awg|pa_numero-conductores|pa_voltaje|pa_norma|pa_aplicacion
157,31404264001,"TSEC 2×6+6 AWG Cu (cobre)-XLPUV/PE 600V 90°C","Antifraude TSEC|Cables de acometida",Procables,pa_marca|pa_calibre-awg|pa_numero-conductores|pa_voltaje|pa_norma|pa_aplicacion
158,31404244901,"TSEC 2×8+8 AWG Cu (cobre) CPR XLPE-SR 600V 90°C PE","Antifraude TSEC|Cables de acometida",Procables,pa_marca|pa_calibre-awg|pa_numero-conductores|pa_voltaje|pa_norma|pa_aplicacion
159,31404145001,"TSEC 8+8 AWG Cu-PE/PVC 600V 75°C CDSA","Antifraude TSEC|Cables de acometida",Procables,pa_marca|pa_calibre-awg|pa_voltaje|pa_norma|pa_aplicacion
164,31352614501,"EXZHELLENT BW 14 AWG (2.5mm2) Cu (cobre) CPR HFFR LS 600V 75°","Cables de baja tensión|Exzhellent BW",Procables,pa_marca|pa_calibre-awg|pa_voltaje|pa_norma|pa_aplicacion
165,31352612201,"EXZHELLENT BW 12 AWG (4mm2) Cu (cobre) CPR HFFR LS 600V 75°C","Cables de baja tensión|Exzhellent BW",Procables,pa_marca|pa_calibre-awg|pa_voltaje|pa_norma|pa_aplicacion
166,31352610601,"EXZHELLENT BW 10 AWG (6mm2) Cu (cobre) CPR HFFR LS 600V 75°C","Cables de baja tensión|Exzhellent BW",Procables,pa_marca|pa_calibre-awg|pa_voltaje|pa_norma|pa_aplicacion
168,31352610201-2,"EXZHELLENT BW 8 AWG (10mm2) Cu (cobre) CPR HFFR LS 600V 75°C","Cables de baja tensión|Exzhellent BW",Procables,pa_marca|pa_calibre-awg|pa_voltaje|pa_norma|pa_aplicacion
171,31352608801,"EXZHELLENT BW 6 AWG (16mm2) Cu (cobre) CPR HFFR LS 600V 75°C","Cables de baja tensión|Exzhellent BW",Procables,pa_marca|pa_calibre-awg|pa_voltaje|pa_norma|pa_aplicacion
173,31352606201,"EXZHELLENT BW 4 AWG (25mm2) Cu (cobre) CPR HFFR LS 600V 75°C","Cables de baja tensión|Exzhellent BW",Procables,pa_marca|pa_calibre-awg|pa_voltaje|pa_norma|pa_aplicacion
175,31352602401-2,"EXZHELLENT BW 2 AWG (35mm2) Cu (cobre) CPR HFFR LS 600V 75°C","Cables de baja tensión|Exzhellent BW",Procables,pa_marca|pa_calibre-awg|pa_voltaje|pa_norma|pa_aplicacion
177,31352600401,"EXZHELLENT BW 1/0 AWG (50mm2) Cu (cobre) CPR HFFR LS 600V 75°C","Cables de baja tensión|Exzhellent BW",Procables,pa_marca|pa_calibre-awg|pa_voltaje|pa_norma|pa_aplicacion
179,31352598801,"EXZHELLENT BW 2/0 AWG (70mm2) Cu (cobre) CPR HFFR LS 600V 75°C","Cables de baja tensión|Exzhellent BW",Procables,pa_marca|pa_calibre-awg|pa_voltaje|pa_norma|pa_aplicacion
181,31352596401,"EXZHELLENT BW 3/0 AWG (95mm2) Cu (cobre) CPR HFFR LS 600V 75°C","Cables de baja tensión|Exzhellent BW",Procables,pa_marca|pa_calibre-awg|pa_voltaje|pa_norma|pa_aplicacion
183,31352594201,"EXZHELLENT BW 4/0 AWG (120mm2) Cu (cobre) CPR HFFR LS 600V 75°C","Cables de baja tensión|Exzhellent BW",Procables,pa_marca|pa_calibre-awg|pa_voltaje|pa_norma|pa_aplicacion
185,31352611601,"EXZHELLENT BW 500 kcmil Cu (cobre) CPR HFFR LS 600V 75°","Cables de baja tensión|Exzhellent BW",Procables,pa_marca|pa_calibre-awg|pa_voltaje|pa_norma|pa_aplicacion
186,31352611001,"EXZHELLENT BW 350 kcmil Cu (cobre) CPR HFFR LS 600V 75°","Cables de baja tensión|Exzhellent BW",Procables,pa_marca|pa_calibre-awg|pa_voltaje|pa_norma|pa_aplicacion
187,31352610401,"EXZHELLENT BW 250 kcmil Cu (cobre) CPR HFFR LS 600V 75°","Cables de baja tensión|Exzhellent BW",Procables,pa_marca|pa_calibre-awg|pa_voltaje|pa_norma|pa_aplicacion
