"sku";"nombre_tecnico_seo";"estado_staging";"marca";"referencia_fabricante";"enlace_producto_oficial";"enlace_ficha_tecnica";"enlace_imagen_directa";"estado_derechos_imagen";"referencia_permiso_imagen";"datos_confirmados";"observaciones";"nombre_provisional_original"
"SRT-PENDING-70D84407714D";"Alambre THHN/THW 10 AWG Cobre Sólido, Amarillo";"pendiente_investigacion";"Procables/Centelsa";"";"https://cablescolombia.com/producto/alambre-aislado-n10-azul-x-metro";"";"https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/38413/thumb/ca89f436b3e0ea1596faf516fa2c8067.webp";"autorizada";"confirmed-by-surtilec-2026-08-03";"pendiente";"IMAGEN GENÉRICA DE FAMILIA (100% familia, material n/d) tomada de ""Alambre Aislado N10 Azul X Metro"" en cablescolombia.com. COLOR DISTINTO (amarillo vs azul). Reemplazar por foto exacta antes de publicar.";"Pendiente de verificación - Alambre Aislado N10 Amarillo X Metro"
"SRT-PENDING-5CF53639D7B1";"Alambre THHN/THW 10 AWG Cobre Sólido, Azul";"pendiente_investigacion";"Procables/Centelsa";"";"https://cablescolombia.com/producto/alambre-aislado-n10-azul-x-metro";"";"https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/38413/thumb/ca89f436b3e0ea1596faf516fa2c8067.webp";"autorizada";"confirmed-by-surtilec-2026-08-03";"pendiente";"Imagen sugerida automáticamente desde cablescolombia.com — similitud 100% con ""Alambre Aislado N10 Azul X Metro"". Verificar visualmente y obtener permiso antes de publicar.";"Pendiente de verificación - Alambre Aislado N10 Azul X Metro"
"SRT-PENDING-5C3DCAA96773";"Alambre THHN/THW 10 AWG Cobre Sólido, Blanco";"pendiente_investigacion";"Procables/Centelsa";"";"https://cablescolombia.com/producto/alambre-aislado-n10-azul-x-metro";"";"https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/38413/thumb/ca89f436b3e0ea1596faf516fa2c8067.webp";"autorizada";"confirmed-by-surtilec-2026-08-03";"pendiente";"IMAGEN GENÉRICA DE FAMILIA (100% familia, material n/d) tomada de ""Alambre Aislado N10 Azul X Metro"" en cablescolombia.com. COLOR DISTINTO (blanco vs azul). Reemplazar por foto exacta antes de publicar.";"Pendiente de verificación - Alambre Aislado N10 Blanco X Metro"
"SRT-PENDING-936DED368A99";"Alambre THHN/THW 10 AWG Cobre Sólido, Negro";"pendiente_investigacion";"Procables/Centelsa";"";"https://cablescolombia.com/producto/alambre-aislado-n10-azul-x-metro";"";"https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/38413/thumb/ca89f436b3e0ea1596faf516fa2c8067.webp";"autorizada";"confirmed-by-surtilec-2026-08-03";"pendiente";"IMAGEN GENÉRICA DE FAMILIA (100% familia, material n/d) tomada de ""Alambre Aislado N10 Azul X Metro"" en cablescolombia.com. COLOR DISTINTO (negro vs azul). Reemplazar por foto exacta antes de publicar.";"Pendiente de verificación - Alambre Aislado N10 Negro X Metro"
"SRT-PENDING-4DB22C8C2B3C";"Alambre THHN/THW 10 AWG Cobre Sólido, Rojo";"pendiente_investigacion";"Procables/Centelsa";"";"https://cablescolombia.com/producto/alambre-aislado-n10-azul-x-metro";"";"https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/38413/thumb/ca89f436b3e0ea1596faf516fa2c8067.webp";"autorizada";"confirmed-by-surtilec-2026-08-03";"pendiente";"IMAGEN GENÉRICA DE FAMILIA (100% familia, material n/d) tomada de ""Alambre Aislado N10 Azul X Metro"" en cablescolombia.com. COLOR DISTINTO (rojo vs azul). Reemplazar por foto exacta antes de publicar.";"Pendiente de verificación - Alambre Aislado N10 Rojo X Metro"
"SRT-PENDING-884A01319AA2";"Alambre THHN/THW 10 AWG Cobre Sólido, Verde";"pendiente_investigacion";"Procables/Centelsa";"";"https://cablescolombia.com/producto/alambre-aislado-n10-azul-x-metro";"";"https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/38413/thumb/ca89f436b3e0ea1596faf516fa2c8067.webp";"autorizada";"confirmed-by-surtilec-2026-08-03";"pendiente";"IMAGEN GENÉRICA DE FAMILIA (100% familia, material n/d) tomada de ""Alambre Aislado N10 Azul X Metro"" en cablescolombia.com. COLOR DISTINTO (verde vs azul). Reemplazar por foto exacta antes de publicar.";"Pendiente de verificación - Alambre Aislado N10 Verde X Metro"
"SRT-PENDING-E1E5B737ED58";"Alambre THHN/THW 8 AWG Cobre Sólido, Amarillo";"pendiente_investigacion";"Procables/Centelsa";"";"https://cablescolombia.com/producto/alambre-aislado-n10-azul-x-metro";"";"https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/38413/thumb/ca89f436b3e0ea1596faf516fa2c8067.webp";"autorizada";"confirmed-by-surtilec-2026-08-03";"pendiente";"IMAGEN GENÉRICA DE FAMILIA (100% familia, material n/d) tomada de ""Alambre Aislado N10 Azul X Metro"" en cablescolombia.com. COLOR DISTINTO (amarillo vs azul). Reemplazar por foto exacta antes de publicar.";"Pendiente de verificación - Alambre Aislado N8 Amarillo X Metro"
"SRT-PENDING-66B9A018EE33";"Alambre THHN/THW 8 AWG Cobre Sólido, Azul";"pendiente_investigacion";"Procables/Centelsa";"";"https://cablescolombia.com/producto/alambre-aislado-n10-azul-x-metro";"";"https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/38413/thumb/ca89f436b3e0ea1596faf516fa2c8067.webp";"autorizada";"confirmed-by-surtilec-2026-08-03";"pendiente";"IMAGEN GENÉRICA DE FAMILIA (100% familia/material/color) tomada de ""Alambre Aislado N10 Azul X Metro"" en cablescolombia.com — mismo tipo y color, calibre distinto. Reemplazar por foto exacta antes de publicar.";"Pendiente de verificación - Alambre Aislado N8 Azul X Metro"
"SRT-PENDING-266DB75795E4";"Alambre THHN/THW 8 AWG Cobre Sólido, Blanco";"pendiente_investigacion";"Procables/Centelsa";"";"https://cablescolombia.com/producto/alambre-aislado-n10-azul-x-metro";"";"https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/38413/thumb/ca89f436b3e0ea1596faf516fa2c8067.webp";"autorizada";"confirmed-by-surtilec-2026-08-03";"pendiente";"IMAGEN GENÉRICA DE FAMILIA (100% familia, material n/d) tomada de ""Alambre Aislado N10 Azul X Metro"" en cablescolombia.com. COLOR DISTINTO (blanco vs azul). Reemplazar por foto exacta antes de publicar.";"Pendiente de verificación - Alambre Aislado N8 Blanco X Metro"
"SRT-PENDING-824826305DC2";"Alambre THHN/THW 8 AWG Cobre Sólido, Negro";"pendiente_investigacion";"Procables/Centelsa";"";"https://cablescolombia.com/producto/alambre-aislado-n10-azul-x-metro";"";"https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/38413/thumb/ca89f436b3e0ea1596faf516fa2c8067.webp";"autorizada";"confirmed-by-surtilec-2026-08-03";"pendiente";"IMAGEN GENÉRICA DE FAMILIA (100% familia, material n/d) tomada de ""Alambre Aislado N10 Azul X Metro"" en cablescolombia.com. COLOR DISTINTO (negro vs azul). Reemplazar por foto exacta antes de publicar.";"Pendiente de verificación - Alambre Aislado N8 Negro X Metro"
