sku,nombre_provisional,estado_staging,marca,referencia_fabricante,enlace_producto_oficial,enlace_ficha_tecnica,enlace_imagen_directa,estado_derechos_imagen,referencia_permiso_imagen,datos_confirmados,observaciones
SRT-PENDING-70D84407714D,Pendiente de verificación - Alambre Aislado N10 Amarillo X Metro,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-5CF53639D7B1,Pendiente de verificación - Alambre Aislado N10 Azul X Metro,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-5C3DCAA96773,Pendiente de verificación - Alambre Aislado N10 Blanco X Metro,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-936DED368A99,Pendiente de verificación - Alambre Aislado N10 Negro X Metro,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-4DB22C8C2B3C,Pendiente de verificación - Alambre Aislado N10 Rojo X Metro,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-884A01319AA2,Pendiente de verificación - Alambre Aislado N10 Verde X Metro,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-E1E5B737ED58,Pendiente de verificación - Alambre Aislado N8 Amarillo X Metro,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-66B9A018EE33,Pendiente de verificación - Alambre Aislado N8 Azul X Metro,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-266DB75795E4,Pendiente de verificación - Alambre Aislado N8 Blanco X Metro,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-824826305DC2,Pendiente de verificación - Alambre Aislado N8 Negro X Metro,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-FBFCC917B264,Pendiente de verificación - Alambre Aislado N8 Rojo X Metro,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-9EECB1397244,Pendiente de verificación - Alambre Aislado N8 Verde X Metro,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-4C332162507B,Pendiente de verificación - Alambre Aislado N10 Azul X Metro,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-C526999CC316,Pendiente de verificación - Cable Aislado Thhw Cu N14 Rojo,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-0C9C276CC06B,Pendiente de verificación - Cable Aislado Thhw Cu N14 Azul,pendiente_investigacion,,,,,,pendiente,,pendiente,
