sku,referencia_fabricante,marca,proveedor,fuente_datos_url,ficha_tecnica_url,fuente_imagen_url,estado_fuente,estado_imagen,verificado_en,notas
SRT-ALAMBRE-12-AMARILLO-ROLLO,200303,Centelsa by Nexans,Centelsa by Nexans Colombia,https://www.nexans.co/es/products/Construcci%C3%B3n/Cables-de-Cobre-de-Baja-Tensi%C3%B3n-Aislados/Alambre-THHN-THWN-2/Wire-Type-24145.html,https://www.nexans.co/.rest/catalog/v1/product/pdf/200303,,verificada,sin_imagen,2026-08-03,Referencia Nexans 200303; ficha oficial 12 AWG; empaque publicado: rollo de 100 m. La unidad metro es una modalidad comercial de Surtilec y queda sujeta a disponibilidad.
SRT-ALAMBRE-12-AZUL-ROLLO,200303,Centelsa by Nexans,Centelsa by Nexans Colombia,https://www.nexans.co/es/products/Construcci%C3%B3n/Cables-de-Cobre-de-Baja-Tensi%C3%B3n-Aislados/Alambre-THHN-THWN-2/Wire-Type-24145.html,https://www.nexans.co/.rest/catalog/v1/product/pdf/200303,,verificada,sin_imagen,2026-08-03,Referencia Nexans 200303; ficha oficial 12 AWG; empaque publicado: rollo de 100 m. La unidad metro es una modalidad comercial de Surtilec y queda sujeta a disponibilidad.
SRT-ALAMBRE-12-BLANCO-ROLLO,200303,Centelsa by Nexans,Centelsa by Nexans Colombia,https://www.nexans.co/es/products/Construcci%C3%B3n/Cables-de-Cobre-de-Baja-Tensi%C3%B3n-Aislados/Alambre-THHN-THWN-2/Wire-Type-24145.html,https://www.nexans.co/.rest/catalog/v1/product/pdf/200303,,verificada,sin_imagen,2026-08-03,Referencia Nexans 200303; ficha oficial 12 AWG; empaque publicado: rollo de 100 m. La unidad metro es una modalidad comercial de Surtilec y queda sujeta a disponibilidad.
SRT-ALAMBRE-12-NEGRO-ROLLO,200303,Centelsa by Nexans,Centelsa by Nexans Colombia,https://www.nexans.co/es/products/Construcci%C3%B3n/Cables-de-Cobre-de-Baja-Tensi%C3%B3n-Aislados/Alambre-THHN-THWN-2/Wire-Type-24145.html,https://www.nexans.co/.rest/catalog/v1/product/pdf/200303,,verificada,sin_imagen,2026-08-03,Referencia Nexans 200303; ficha oficial 12 AWG; empaque publicado: rollo de 100 m. La unidad metro es una modalidad comercial de Surtilec y queda sujeta a disponibilidad.
SRT-ALAMBRE-12-ROJO-ROLLO,200303,Centelsa by Nexans,Centelsa by Nexans Colombia,https://www.nexans.co/es/products/Construcci%C3%B3n/Cables-de-Cobre-de-Baja-Tensi%C3%B3n-Aislados/Alambre-THHN-THWN-2/Wire-Type-24145.html,https://www.nexans.co/.rest/catalog/v1/product/pdf/200303,,verificada,sin_imagen,2026-08-03,Referencia Nexans 200303; ficha oficial 12 AWG; empaque publicado: rollo de 100 m. La unidad metro es una modalidad comercial de Surtilec y queda sujeta a disponibilidad.
SRT-ALAMBRE-12-VERDE-ROLLO,200303,Centelsa by Nexans,Centelsa by Nexans Colombia,https://www.nexans.co/es/products/Construcci%C3%B3n/Cables-de-Cobre-de-Baja-Tensi%C3%B3n-Aislados/Alambre-THHN-THWN-2/Wire-Type-24145.html,https://www.nexans.co/.rest/catalog/v1/product/pdf/200303,,verificada,sin_imagen,2026-08-03,Referencia Nexans 200303; ficha oficial 12 AWG; empaque publicado: rollo de 100 m. La unidad metro es una modalidad comercial de Surtilec y queda sujeta a disponibilidad.
SRT-ALAMBRE-14-AMARILLO-METRO,200300,Centelsa by Nexans,Centelsa by Nexans Colombia,https://www.nexans.co/es/products/Construcci%C3%B3n/Cables-de-Cobre-de-Baja-Tensi%C3%B3n-Aislados/Alambre-THHN-THWN-2/Wire-Type-24145.html,https://www.nexans.co/.rest/catalog/v1/product/pdf/200300,,verificada,sin_imagen,2026-08-03,Referencia Nexans 200300; ficha oficial 14 AWG; empaque publicado: rollo de 100 m. La unidad metro es una modalidad comercial de Surtilec y queda sujeta a disponibilidad.
SRT-ALAMBRE-14-AZUL-METRO,200300,Centelsa by Nexans,Centelsa by Nexans Colombia,https://www.nexans.co/es/products/Construcci%C3%B3n/Cables-de-Cobre-de-Baja-Tensi%C3%B3n-Aislados/Alambre-THHN-THWN-2/Wire-Type-24145.html,https://www.nexans.co/.rest/catalog/v1/product/pdf/200300,,verificada,sin_imagen,2026-08-03,Referencia Nexans 200300; ficha oficial 14 AWG; empaque publicado: rollo de 100 m. La unidad metro es una modalidad comercial de Surtilec y queda sujeta a disponibilidad.
SRT-ALAMBRE-14-BLANCO-METRO,200300,Centelsa by Nexans,Centelsa by Nexans Colombia,https://www.nexans.co/es/products/Construcci%C3%B3n/Cables-de-Cobre-de-Baja-Tensi%C3%B3n-Aislados/Alambre-THHN-THWN-2/Wire-Type-24145.html,https://www.nexans.co/.rest/catalog/v1/product/pdf/200300,,verificada,sin_imagen,2026-08-03,Referencia Nexans 200300; ficha oficial 14 AWG; empaque publicado: rollo de 100 m. La unidad metro es una modalidad comercial de Surtilec y queda sujeta a disponibilidad.
SRT-ALAMBRE-14-NEGRO-METRO,200300,Centelsa by Nexans,Centelsa by Nexans Colombia,https://www.nexans.co/es/products/Construcci%C3%B3n/Cables-de-Cobre-de-Baja-Tensi%C3%B3n-Aislados/Alambre-THHN-THWN-2/Wire-Type-24145.html,https://www.nexans.co/.rest/catalog/v1/product/pdf/200300,,verificada,sin_imagen,2026-08-03,Referencia Nexans 200300; ficha oficial 14 AWG; empaque publicado: rollo de 100 m. La unidad metro es una modalidad comercial de Surtilec y queda sujeta a disponibilidad.
