sku,nombre,categoria,subcategoria,marca,calibre_awg,num_conductores,voltaje,apantallado,chaqueta,norma,aplicacion,potencia_hp,voltaje_entrada,serie,descripcion_corta,imagen,descripcion_larga,unidad_venta,temperatura_maxima
SRT-PENDING-70D84407714D,"Alambre THHN/THW 10 AWG Cobre Sólido, Amarillo",Cable THHN / THWN-2,,Producto genérico Surtilec,10 AWG,,,,termoplástico,,"Alambrado en ductos, tableros y circuitos de baja tensión, sujeto a la ficha exacta.",,,Alambre/cable THHN/THWN-2 600 V,"Cotiza Alambre THHN/THW 10 AWG Cobre Sólido, Amarillo en Surtilec. SKU SRT-PENDING-70D84407714D. Alambrado en ductos, tableros y circuitos de baja tensión, sujeto a la ficha exacta. Confirma referencia, presentación y disponibilidad antes de instalar.",surtilec-alambre-thhn-thw-10-awg-cobre-solido-amarillo-srt-pending-70d84407714d.webp,"<p><strong>Alambre THHN/THW 10 AWG Cobre Sólido, Amarillo</strong> es una opción para alambrado en ductos, tableros y circuitos de baja tensión, sujeto a la ficha exacta.</p><h2>¿Qué producto es?</h2><p>Esta ficha corresponde a un producto genérico Surtilec identificado comercialmente por el SKU <strong>SRT-PENDING-70D84407714D</strong>. El nombre, la configuración y los atributos visibles son los datos publicados para solicitar una cotización.</p><h2>Especificaciones identificadas</h2><ul><li>Calibre: 10 AWG</li><li>Color indicado: amarillo</li><li>Material indicado: cobre</li><li>Aislamiento o chaqueta indicada: termoplástico</li></ul><h2>¿Para qué sirve?</h2><p>Alambrado en ductos, tableros y circuitos de baja tensión, sujeto a la ficha exacta. La selección final depende del sistema, la instalación, la compatibilidad y la ficha técnica de la referencia disponible.</p><h2>¿Qué debo confirmar antes de comprar?</h2><p>Solicita a Surtilec la marca, referencia de fabricante, norma aplicable, longitud o presentación, disponibilidad y confirmación de la variante de imagen. No uses esta ficha como sustituto del diseño eléctrico o de la ficha técnica del fabricante.</p><h2>¿Cómo solicitar la cotización?</h2><p>Envía el SKU <strong>SRT-PENDING-70D84407714D</strong>, la cantidad, la unidad requerida y el uso previsto. Así podremos validar la referencia disponible y responder con la alternativa correcta.</p><p class=""surtilec-family-note"">Familia técnica contrastada: Alambre/cable THHN/THWN-2 600 V. La marca y referencia exactas se confirman por SKU de proveedor antes del despacho.</p><p class=""surtilec-source-note""><strong>Fuente técnica consultada:</strong> <a href=""https://www.nexans.co/es/products/Construcci%C3%B3n/Cables-de-Cobre-de-Baja-Tensi%C3%B3n-Aislados/Cable-THHN-THWN-2/Cable-Type24144.html"" target=""_blank"" rel=""noopener"">ficha de la familia técnica</a>. Esta fuente se utiliza para contrastar la familia y no sustituye la ficha exacta del producto suministrado.</p>",,
SRT-PENDING-5CF53639D7B1,"Alambre THHN/THW 10 AWG Cobre Sólido, Azul",Cable THHN / THWN-2,,Producto genérico Surtilec,10 AWG,,,,termoplástico,,"Alambrado en ductos, tableros y circuitos de baja tensión, sujeto a la ficha exacta.",,,Alambre/cable THHN/THWN-2 600 V,"Cotiza Alambre THHN/THW 10 AWG Cobre Sólido, Azul en Surtilec. SKU SRT-PENDING-5CF53639D7B1. Alambrado en ductos, tableros y circuitos de baja tensión, sujeto a la ficha exacta. Confirma referencia, presentación y disponibilidad antes de instalar.",surtilec-alambre-thhn-thw-10-awg-cobre-solido-azul-srt-pending-5cf53639d7b1.webp,"<p><strong>Alambre THHN/THW 10 AWG Cobre Sólido, Azul</strong> es una opción para alambrado en ductos, tableros y circuitos de baja tensión, sujeto a la ficha exacta.</p><h2>¿Qué producto es?</h2><p>Esta ficha corresponde a un producto genérico Surtilec identificado comercialmente por el SKU <strong>SRT-PENDING-5CF53639D7B1</strong>. El nombre, la configuración y los atributos visibles son los datos publicados para solicitar una cotización.</p><h2>Especificaciones identificadas</h2><ul><li>Calibre: 10 AWG</li><li>Color indicado: azul</li><li>Material indicado: cobre</li><li>Aislamiento o chaqueta indicada: termoplástico</li></ul><h2>¿Para qué sirve?</h2><p>Alambrado en ductos, tableros y circuitos de baja tensión, sujeto a la ficha exacta. La selección final depende del sistema, la instalación, la compatibilidad y la ficha técnica de la referencia disponible.</p><h2>¿Qué debo confirmar antes de comprar?</h2><p>Solicita a Surtilec la marca, referencia de fabricante, norma aplicable, longitud o presentación, disponibilidad y confirmación de la variante de imagen. No uses esta ficha como sustituto del diseño eléctrico o de la ficha técnica del fabricante.</p><h2>¿Cómo solicitar la cotización?</h2><p>Envía el SKU <strong>SRT-PENDING-5CF53639D7B1</strong>, la cantidad, la unidad requerida y el uso previsto. Así podremos validar la referencia disponible y responder con la alternativa correcta.</p><p class=""surtilec-family-note"">Familia técnica contrastada: Alambre/cable THHN/THWN-2 600 V. La marca y referencia exactas se confirman por SKU de proveedor antes del despacho.</p><p class=""surtilec-source-note""><strong>Fuente técnica consultada:</strong> <a href=""https://www.nexans.co/es/products/Construcci%C3%B3n/Cables-de-Cobre-de-Baja-Tensi%C3%B3n-Aislados/Cable-THHN-THWN-2/Cable-Type24144.html"" target=""_blank"" rel=""noopener"">ficha de la familia técnica</a>. Esta fuente se utiliza para contrastar la familia y no sustituye la ficha exacta del producto suministrado.</p>",,
SRT-PENDING-5C3DCAA96773,"Alambre THHN/THW 10 AWG Cobre Sólido, Blanco",Cable THHN / THWN-2,,Producto genérico Surtilec,10 AWG,,,,termoplástico,,"Alambrado en ductos, tableros y circuitos de baja tensión, sujeto a la ficha exacta.",,,Alambre/cable THHN/THWN-2 600 V,"Cotiza Alambre THHN/THW 10 AWG Cobre Sólido, Blanco en Surtilec. SKU SRT-PENDING-5C3DCAA96773. Alambrado en ductos, tableros y circuitos de baja tensión, sujeto a la ficha exacta. Confirma referencia, presentación y disponibilidad antes de instalar.",surtilec-alambre-thhn-thw-10-awg-cobre-solido-blanco-srt-pending-5c3dcaa96773.webp,"<p><strong>Alambre THHN/THW 10 AWG Cobre Sólido, Blanco</strong> es una opción para alambrado en ductos, tableros y circuitos de baja tensión, sujeto a la ficha exacta.</p><h2>¿Qué producto es?</h2><p>Esta ficha corresponde a un producto genérico Surtilec identificado comercialmente por el SKU <strong>SRT-PENDING-5C3DCAA96773</strong>. El nombre, la configuración y los atributos visibles son los datos publicados para solicitar una cotización.</p><h2>Especificaciones identificadas</h2><ul><li>Calibre: 10 AWG</li><li>Color indicado: blanco</li><li>Material indicado: cobre</li><li>Aislamiento o chaqueta indicada: termoplástico</li></ul><h2>¿Para qué sirve?</h2><p>Alambrado en ductos, tableros y circuitos de baja tensión, sujeto a la ficha exacta. La selección final depende del sistema, la instalación, la compatibilidad y la ficha técnica de la referencia disponible.</p><h2>¿Qué debo confirmar antes de comprar?</h2><p>Solicita a Surtilec la marca, referencia de fabricante, norma aplicable, longitud o presentación, disponibilidad y confirmación de la variante de imagen. No uses esta ficha como sustituto del diseño eléctrico o de la ficha técnica del fabricante.</p><h2>¿Cómo solicitar la cotización?</h2><p>Envía el SKU <strong>SRT-PENDING-5C3DCAA96773</strong>, la cantidad, la unidad requerida y el uso previsto. Así podremos validar la referencia disponible y responder con la alternativa correcta.</p><p class=""surtilec-family-note"">Familia técnica contrastada: Alambre/cable THHN/THWN-2 600 V. La marca y referencia exactas se confirman por SKU de proveedor antes del despacho.</p><p class=""surtilec-source-note""><strong>Fuente técnica consultada:</strong> <a href=""https://www.nexans.co/es/products/Construcci%C3%B3n/Cables-de-Cobre-de-Baja-Tensi%C3%B3n-Aislados/Cable-THHN-THWN-2/Cable-Type24144.html"" target=""_blank"" rel=""noopener"">ficha de la familia técnica</a>. Esta fuente se utiliza para contrastar la familia y no sustituye la ficha exacta del producto suministrado.</p>",,
SRT-PENDING-936DED368A99,"Alambre THHN/THW 10 AWG Cobre Sólido, Negro",Cable THHN / THWN-2,,Producto genérico Surtilec,10 AWG,,,,termoplástico,,"Alambrado en ductos, tableros y circuitos de baja tensión, sujeto a la ficha exacta.",,,Alambre/cable THHN/THWN-2 600 V,"Cotiza Alambre THHN/THW 10 AWG Cobre Sólido, Negro en Surtilec. SKU SRT-PENDING-936DED368A99. Alambrado en ductos, tableros y circuitos de baja tensión, sujeto a la ficha exacta. Confirma referencia, presentación y disponibilidad antes de instalar.",surtilec-alambre-thhn-thw-10-awg-cobre-solido-negro-srt-pending-936ded368a99.webp,"<p><strong>Alambre THHN/THW 10 AWG Cobre Sólido, Negro</strong> es una opción para alambrado en ductos, tableros y circuitos de baja tensión, sujeto a la ficha exacta.</p><h2>¿Qué producto es?</h2><p>Esta ficha corresponde a un producto genérico Surtilec identificado comercialmente por el SKU <strong>SRT-PENDING-936DED368A99</strong>. El nombre, la configuración y los atributos visibles son los datos publicados para solicitar una cotización.</p><h2>Especificaciones identificadas</h2><ul><li>Calibre: 10 AWG</li><li>Color indicado: negro</li><li>Material indicado: cobre</li><li>Aislamiento o chaqueta indicada: termoplástico</li></ul><h2>¿Para qué sirve?</h2><p>Alambrado en ductos, tableros y circuitos de baja tensión, sujeto a la ficha exacta. La selección final depende del sistema, la instalación, la compatibilidad y la ficha técnica de la referencia disponible.</p><h2>¿Qué debo confirmar antes de comprar?</h2><p>Solicita a Surtilec la marca, referencia de fabricante, norma aplicable, longitud o presentación, disponibilidad y confirmación de la variante de imagen. No uses esta ficha como sustituto del diseño eléctrico o de la ficha técnica del fabricante.</p><h2>¿Cómo solicitar la cotización?</h2><p>Envía el SKU <strong>SRT-PENDING-936DED368A99</strong>, la cantidad, la unidad requerida y el uso previsto. Así podremos validar la referencia disponible y responder con la alternativa correcta.</p><p class=""surtilec-family-note"">Familia técnica contrastada: Alambre/cable THHN/THWN-2 600 V. La marca y referencia exactas se confirman por SKU de proveedor antes del despacho.</p><p class=""surtilec-source-note""><strong>Fuente técnica consultada:</strong> <a href=""https://www.nexans.co/es/products/Construcci%C3%B3n/Cables-de-Cobre-de-Baja-Tensi%C3%B3n-Aislados/Cable-THHN-THWN-2/Cable-Type24144.html"" target=""_blank"" rel=""noopener"">ficha de la familia técnica</a>. Esta fuente se utiliza para contrastar la familia y no sustituye la ficha exacta del producto suministrado.</p>",,
SRT-PENDING-4DB22C8C2B3C,"Alambre THHN/THW 10 AWG Cobre Sólido, Rojo",Cable THHN / THWN-2,,Producto genérico Surtilec,10 AWG,,,,termoplástico,,"Alambrado en ductos, tableros y circuitos de baja tensión, sujeto a la ficha exacta.",,,Alambre/cable THHN/THWN-2 600 V,"Cotiza Alambre THHN/THW 10 AWG Cobre Sólido, Rojo en Surtilec. SKU SRT-PENDING-4DB22C8C2B3C. Alambrado en ductos, tableros y circuitos de baja tensión, sujeto a la ficha exacta. Confirma referencia, presentación y disponibilidad antes de instalar.",surtilec-alambre-thhn-thw-10-awg-cobre-solido-rojo-srt-pending-4db22c8c2b3c.webp,"<p><strong>Alambre THHN/THW 10 AWG Cobre Sólido, Rojo</strong> es una opción para alambrado en ductos, tableros y circuitos de baja tensión, sujeto a la ficha exacta.</p><h2>¿Qué producto es?</h2><p>Esta ficha corresponde a un producto genérico Surtilec identificado comercialmente por el SKU <strong>SRT-PENDING-4DB22C8C2B3C</strong>. El nombre, la configuración y los atributos visibles son los datos publicados para solicitar una cotización.</p><h2>Especificaciones identificadas</h2><ul><li>Calibre: 10 AWG</li><li>Color indicado: rojo</li><li>Material indicado: cobre</li><li>Aislamiento o chaqueta indicada: termoplástico</li></ul><h2>¿Para qué sirve?</h2><p>Alambrado en ductos, tableros y circuitos de baja tensión, sujeto a la ficha exacta. La selección final depende del sistema, la instalación, la compatibilidad y la ficha técnica de la referencia disponible.</p><h2>¿Qué debo confirmar antes de comprar?</h2><p>Solicita a Surtilec la marca, referencia de fabricante, norma aplicable, longitud o presentación, disponibilidad y confirmación de la variante de imagen. No uses esta ficha como sustituto del diseño eléctrico o de la ficha técnica del fabricante.</p><h2>¿Cómo solicitar la cotización?</h2><p>Envía el SKU <strong>SRT-PENDING-4DB22C8C2B3C</strong>, la cantidad, la unidad requerida y el uso previsto. Así podremos validar la referencia disponible y responder con la alternativa correcta.</p><p class=""surtilec-family-note"">Familia técnica contrastada: Alambre/cable THHN/THWN-2 600 V. La marca y referencia exactas se confirman por SKU de proveedor antes del despacho.</p><p class=""surtilec-source-note""><strong>Fuente técnica consultada:</strong> <a href=""https://www.nexans.co/es/products/Construcci%C3%B3n/Cables-de-Cobre-de-Baja-Tensi%C3%B3n-Aislados/Cable-THHN-THWN-2/Cable-Type24144.html"" target=""_blank"" rel=""noopener"">ficha de la familia técnica</a>. Esta fuente se utiliza para contrastar la familia y no sustituye la ficha exacta del producto suministrado.</p>",,
SRT-PENDING-884A01319AA2,"Alambre THHN/THW 10 AWG Cobre Sólido, Verde",Cable THHN / THWN-2,,Producto genérico Surtilec,10 AWG,,,,termoplástico,,"Alambrado en ductos, tableros y circuitos de baja tensión, sujeto a la ficha exacta.",,,Alambre/cable THHN/THWN-2 600 V,"Cotiza Alambre THHN/THW 10 AWG Cobre Sólido, Verde en Surtilec. SKU SRT-PENDING-884A01319AA2. Alambrado en ductos, tableros y circuitos de baja tensión, sujeto a la ficha exacta. Confirma referencia, presentación y disponibilidad antes de instalar.",surtilec-alambre-thhn-thw-10-awg-cobre-solido-verde-srt-pending-884a01319aa2.webp,"<p><strong>Alambre THHN/THW 10 AWG Cobre Sólido, Verde</strong> es una opción para alambrado en ductos, tableros y circuitos de baja tensión, sujeto a la ficha exacta.</p><h2>¿Qué producto es?</h2><p>Esta ficha corresponde a un producto genérico Surtilec identificado comercialmente por el SKU <strong>SRT-PENDING-884A01319AA2</strong>. El nombre, la configuración y los atributos visibles son los datos publicados para solicitar una cotización.</p><h2>Especificaciones identificadas</h2><ul><li>Calibre: 10 AWG</li><li>Color indicado: verde</li><li>Material indicado: cobre</li><li>Aislamiento o chaqueta indicada: termoplástico</li></ul><h2>¿Para qué sirve?</h2><p>Alambrado en ductos, tableros y circuitos de baja tensión, sujeto a la ficha exacta. La selección final depende del sistema, la instalación, la compatibilidad y la ficha técnica de la referencia disponible.</p><h2>¿Qué debo confirmar antes de comprar?</h2><p>Solicita a Surtilec la marca, referencia de fabricante, norma aplicable, longitud o presentación, disponibilidad y confirmación de la variante de imagen. No uses esta ficha como sustituto del diseño eléctrico o de la ficha técnica del fabricante.</p><h2>¿Cómo solicitar la cotización?</h2><p>Envía el SKU <strong>SRT-PENDING-884A01319AA2</strong>, la cantidad, la unidad requerida y el uso previsto. Así podremos validar la referencia disponible y responder con la alternativa correcta.</p><p class=""surtilec-family-note"">Familia técnica contrastada: Alambre/cable THHN/THWN-2 600 V. La marca y referencia exactas se confirman por SKU de proveedor antes del despacho.</p><p class=""surtilec-source-note""><strong>Fuente técnica consultada:</strong> <a href=""https://www.nexans.co/es/products/Construcci%C3%B3n/Cables-de-Cobre-de-Baja-Tensi%C3%B3n-Aislados/Cable-THHN-THWN-2/Cable-Type24144.html"" target=""_blank"" rel=""noopener"">ficha de la familia técnica</a>. Esta fuente se utiliza para contrastar la familia y no sustituye la ficha exacta del producto suministrado.</p>",,
SRT-PENDING-E1E5B737ED58,"Alambre THHN/THW 8 AWG Cobre Sólido, Amarillo",Cable THHN / THWN-2,,Producto genérico Surtilec,8 AWG,,,,termoplástico,,"Alambrado en ductos, tableros y circuitos de baja tensión, sujeto a la ficha exacta.",,,Alambre/cable THHN/THWN-2 600 V,"Cotiza Alambre THHN/THW 8 AWG Cobre Sólido, Amarillo en Surtilec. SKU SRT-PENDING-E1E5B737ED58. Alambrado en ductos, tableros y circuitos de baja tensión, sujeto a la ficha exacta. Confirma referencia, presentación y disponibilidad antes de instalar.",surtilec-alambre-thhn-thw-8-awg-cobre-solido-amarillo-srt-pending-e1e5b737ed58.webp,"<p><strong>Alambre THHN/THW 8 AWG Cobre Sólido, Amarillo</strong> es una opción para alambrado en ductos, tableros y circuitos de baja tensión, sujeto a la ficha exacta.</p><h2>¿Qué producto es?</h2><p>Esta ficha corresponde a un producto genérico Surtilec identificado comercialmente por el SKU <strong>SRT-PENDING-E1E5B737ED58</strong>. El nombre, la configuración y los atributos visibles son los datos publicados para solicitar una cotización.</p><h2>Especificaciones identificadas</h2><ul><li>Calibre: 8 AWG</li><li>Color indicado: amarillo</li><li>Material indicado: cobre</li><li>Aislamiento o chaqueta indicada: termoplástico</li></ul><h2>¿Para qué sirve?</h2><p>Alambrado en ductos, tableros y circuitos de baja tensión, sujeto a la ficha exacta. La selección final depende del sistema, la instalación, la compatibilidad y la ficha técnica de la referencia disponible.</p><h2>¿Qué debo confirmar antes de comprar?</h2><p>Solicita a Surtilec la marca, referencia de fabricante, norma aplicable, longitud o presentación, disponibilidad y confirmación de la variante de imagen. No uses esta ficha como sustituto del diseño eléctrico o de la ficha técnica del fabricante.</p><h2>¿Cómo solicitar la cotización?</h2><p>Envía el SKU <strong>SRT-PENDING-E1E5B737ED58</strong>, la cantidad, la unidad requerida y el uso previsto. Así podremos validar la referencia disponible y responder con la alternativa correcta.</p><p class=""surtilec-family-note"">Familia técnica contrastada: Alambre/cable THHN/THWN-2 600 V. La marca y referencia exactas se confirman por SKU de proveedor antes del despacho.</p><p class=""surtilec-source-note""><strong>Fuente técnica consultada:</strong> <a href=""https://www.nexans.co/es/products/Construcci%C3%B3n/Cables-de-Cobre-de-Baja-Tensi%C3%B3n-Aislados/Cable-THHN-THWN-2/Cable-Type24144.html"" target=""_blank"" rel=""noopener"">ficha de la familia técnica</a>. Esta fuente se utiliza para contrastar la familia y no sustituye la ficha exacta del producto suministrado.</p>",,
SRT-PENDING-66B9A018EE33,"Alambre THHN/THW 8 AWG Cobre Sólido, Azul",Cable THHN / THWN-2,,Producto genérico Surtilec,8 AWG,,,,termoplástico,,"Alambrado en ductos, tableros y circuitos de baja tensión, sujeto a la ficha exacta.",,,Alambre/cable THHN/THWN-2 600 V,"Cotiza Alambre THHN/THW 8 AWG Cobre Sólido, Azul en Surtilec. SKU SRT-PENDING-66B9A018EE33. Alambrado en ductos, tableros y circuitos de baja tensión, sujeto a la ficha exacta. Confirma referencia, presentación y disponibilidad antes de instalar.",surtilec-alambre-thhn-thw-8-awg-cobre-solido-azul-srt-pending-66b9a018ee33.webp,"<p><strong>Alambre THHN/THW 8 AWG Cobre Sólido, Azul</strong> es una opción para alambrado en ductos, tableros y circuitos de baja tensión, sujeto a la ficha exacta.</p><h2>¿Qué producto es?</h2><p>Esta ficha corresponde a un producto genérico Surtilec identificado comercialmente por el SKU <strong>SRT-PENDING-66B9A018EE33</strong>. El nombre, la configuración y los atributos visibles son los datos publicados para solicitar una cotización.</p><h2>Especificaciones identificadas</h2><ul><li>Calibre: 8 AWG</li><li>Color indicado: azul</li><li>Material indicado: cobre</li><li>Aislamiento o chaqueta indicada: termoplástico</li></ul><h2>¿Para qué sirve?</h2><p>Alambrado en ductos, tableros y circuitos de baja tensión, sujeto a la ficha exacta. La selección final depende del sistema, la instalación, la compatibilidad y la ficha técnica de la referencia disponible.</p><h2>¿Qué debo confirmar antes de comprar?</h2><p>Solicita a Surtilec la marca, referencia de fabricante, norma aplicable, longitud o presentación, disponibilidad y confirmación de la variante de imagen. No uses esta ficha como sustituto del diseño eléctrico o de la ficha técnica del fabricante.</p><h2>¿Cómo solicitar la cotización?</h2><p>Envía el SKU <strong>SRT-PENDING-66B9A018EE33</strong>, la cantidad, la unidad requerida y el uso previsto. Así podremos validar la referencia disponible y responder con la alternativa correcta.</p><p class=""surtilec-family-note"">Familia técnica contrastada: Alambre/cable THHN/THWN-2 600 V. La marca y referencia exactas se confirman por SKU de proveedor antes del despacho.</p><p class=""surtilec-source-note""><strong>Fuente técnica consultada:</strong> <a href=""https://www.nexans.co/es/products/Construcci%C3%B3n/Cables-de-Cobre-de-Baja-Tensi%C3%B3n-Aislados/Cable-THHN-THWN-2/Cable-Type24144.html"" target=""_blank"" rel=""noopener"">ficha de la familia técnica</a>. Esta fuente se utiliza para contrastar la familia y no sustituye la ficha exacta del producto suministrado.</p>",,
SRT-PENDING-266DB75795E4,"Alambre THHN/THW 8 AWG Cobre Sólido, Blanco",Cable THHN / THWN-2,,Producto genérico Surtilec,8 AWG,,,,termoplástico,,"Alambrado en ductos, tableros y circuitos de baja tensión, sujeto a la ficha exacta.",,,Alambre/cable THHN/THWN-2 600 V,"Cotiza Alambre THHN/THW 8 AWG Cobre Sólido, Blanco en Surtilec. SKU SRT-PENDING-266DB75795E4. Alambrado en ductos, tableros y circuitos de baja tensión, sujeto a la ficha exacta. Confirma referencia, presentación y disponibilidad antes de instalar.",surtilec-alambre-thhn-thw-8-awg-cobre-solido-blanco-srt-pending-266db75795e4.webp,"<p><strong>Alambre THHN/THW 8 AWG Cobre Sólido, Blanco</strong> es una opción para alambrado en ductos, tableros y circuitos de baja tensión, sujeto a la ficha exacta.</p><h2>¿Qué producto es?</h2><p>Esta ficha corresponde a un producto genérico Surtilec identificado comercialmente por el SKU <strong>SRT-PENDING-266DB75795E4</strong>. El nombre, la configuración y los atributos visibles son los datos publicados para solicitar una cotización.</p><h2>Especificaciones identificadas</h2><ul><li>Calibre: 8 AWG</li><li>Color indicado: blanco</li><li>Material indicado: cobre</li><li>Aislamiento o chaqueta indicada: termoplástico</li></ul><h2>¿Para qué sirve?</h2><p>Alambrado en ductos, tableros y circuitos de baja tensión, sujeto a la ficha exacta. La selección final depende del sistema, la instalación, la compatibilidad y la ficha técnica de la referencia disponible.</p><h2>¿Qué debo confirmar antes de comprar?</h2><p>Solicita a Surtilec la marca, referencia de fabricante, norma aplicable, longitud o presentación, disponibilidad y confirmación de la variante de imagen. No uses esta ficha como sustituto del diseño eléctrico o de la ficha técnica del fabricante.</p><h2>¿Cómo solicitar la cotización?</h2><p>Envía el SKU <strong>SRT-PENDING-266DB75795E4</strong>, la cantidad, la unidad requerida y el uso previsto. Así podremos validar la referencia disponible y responder con la alternativa correcta.</p><p class=""surtilec-family-note"">Familia técnica contrastada: Alambre/cable THHN/THWN-2 600 V. La marca y referencia exactas se confirman por SKU de proveedor antes del despacho.</p><p class=""surtilec-source-note""><strong>Fuente técnica consultada:</strong> <a href=""https://www.nexans.co/es/products/Construcci%C3%B3n/Cables-de-Cobre-de-Baja-Tensi%C3%B3n-Aislados/Cable-THHN-THWN-2/Cable-Type24144.html"" target=""_blank"" rel=""noopener"">ficha de la familia técnica</a>. Esta fuente se utiliza para contrastar la familia y no sustituye la ficha exacta del producto suministrado.</p>",,
SRT-PENDING-824826305DC2,"Alambre THHN/THW 8 AWG Cobre Sólido, Negro",Cable THHN / THWN-2,,Producto genérico Surtilec,8 AWG,,,,termoplástico,,"Alambrado en ductos, tableros y circuitos de baja tensión, sujeto a la ficha exacta.",,,Alambre/cable THHN/THWN-2 600 V,"Cotiza Alambre THHN/THW 8 AWG Cobre Sólido, Negro en Surtilec. SKU SRT-PENDING-824826305DC2. Alambrado en ductos, tableros y circuitos de baja tensión, sujeto a la ficha exacta. Confirma referencia, presentación y disponibilidad antes de instalar.",surtilec-alambre-thhn-thw-8-awg-cobre-solido-negro-srt-pending-824826305dc2.webp,"<p><strong>Alambre THHN/THW 8 AWG Cobre Sólido, Negro</strong> es una opción para alambrado en ductos, tableros y circuitos de baja tensión, sujeto a la ficha exacta.</p><h2>¿Qué producto es?</h2><p>Esta ficha corresponde a un producto genérico Surtilec identificado comercialmente por el SKU <strong>SRT-PENDING-824826305DC2</strong>. El nombre, la configuración y los atributos visibles son los datos publicados para solicitar una cotización.</p><h2>Especificaciones identificadas</h2><ul><li>Calibre: 8 AWG</li><li>Color indicado: negro</li><li>Material indicado: cobre</li><li>Aislamiento o chaqueta indicada: termoplástico</li></ul><h2>¿Para qué sirve?</h2><p>Alambrado en ductos, tableros y circuitos de baja tensión, sujeto a la ficha exacta. La selección final depende del sistema, la instalación, la compatibilidad y la ficha técnica de la referencia disponible.</p><h2>¿Qué debo confirmar antes de comprar?</h2><p>Solicita a Surtilec la marca, referencia de fabricante, norma aplicable, longitud o presentación, disponibilidad y confirmación de la variante de imagen. No uses esta ficha como sustituto del diseño eléctrico o de la ficha técnica del fabricante.</p><h2>¿Cómo solicitar la cotización?</h2><p>Envía el SKU <strong>SRT-PENDING-824826305DC2</strong>, la cantidad, la unidad requerida y el uso previsto. Así podremos validar la referencia disponible y responder con la alternativa correcta.</p><p class=""surtilec-family-note"">Familia técnica contrastada: Alambre/cable THHN/THWN-2 600 V. La marca y referencia exactas se confirman por SKU de proveedor antes del despacho.</p><p class=""surtilec-source-note""><strong>Fuente técnica consultada:</strong> <a href=""https://www.nexans.co/es/products/Construcci%C3%B3n/Cables-de-Cobre-de-Baja-Tensi%C3%B3n-Aislados/Cable-THHN-THWN-2/Cable-Type24144.html"" target=""_blank"" rel=""noopener"">ficha de la familia técnica</a>. Esta fuente se utiliza para contrastar la familia y no sustituye la ficha exacta del producto suministrado.</p>",,
