sku,nombre,categoria,subcategoria,marca,calibre_awg,num_conductores,voltaje,apantallado,chaqueta,norma,aplicacion,potencia_hp,voltaje_entrada,serie,descripcion_corta,imagen
566-9947-500,"Belden 9947 — Cable de control 22 AWG, 15 conductores, apantallado",Cables de control,,Belden,22,15,300 V,Sí,Polyvinyl Chloride (PVC),NEC Art. 800 CMG; CEC CMG; UL 1685 FT4; IEC 60332-1-2; UL AWM 2464; EU CE Mark; RoHS,"Aplicaciones RS-232; comunicaciones de cómputo; señales analógicas de bajo voltaje (4-20 mA, 0-10 V); control digital de bajo voltaje (24 V); audio de nivel de línea; cableado de panel",,,,"Cable de control marca Belden, referencia 9947. Especificaciones: 22 AWG, 15 conductores, apantallado, régimen de voltaje 300 V.",
566-29502-100-10,"Belden 29502 — Cable para variador VFD 12 AWG, 4 conductores, apantallado",Cables para variadores VFD,,Belden,12,4,1 kV,Sí,Polyvinyl Chloride (PVC),NEC Art. 336 TC-ER; WTTC 1000V; AWM I/II A/B; CEC CIC TC; ICEA S-95-658; MSHA; EU CE Mark; RoHS; China RoHS II,Variadores de frecuencia (VFD); sistemas de motor y accionamiento AC; ubicaciones peligrosas Clase 1 División 2,,,,"Cable para variador VFD marca Belden, referencia 29502. Especificaciones: 12 AWG, 4 conductores, apantallado, régimen de voltaje 1 kV.",
566-5500FE-500-08,"Belden 5500FE — Cable apantallado 22 AWG, 2 conductores",Cables especiales,Cables apantallados,Belden,22,2,300 V,Sí,Polyvinyl Chloride (PVC),NEC Art. 800 CMR; CEC CMG; UL 1666 Riser; IEEE 1202 FT4; IEC 60332-1-2; CPR Euroclass Eca; EU CE Mark; RoHS,Sistemas de seguridad; intercomunicador/PA; audio/altavoz; ambientes ruidosos,,,,"Cable apantallado marca Belden, referencia 5500FE. Especificaciones: 22 AWG, 2 conductores, régimen de voltaje 300 V.",
566-6504FE-500-877,"Belden 6504FE — Cable de control 22 AWG, 6 conductores, apantallado",Cables de control,,Belden,22,6,300 V,Sí,Polyvinyl Chloride (PVC),NEC CMP; CEC CMP; NFPA 262 (UL 910); FT6; EU CE Mark; RoHS; CA Prop 65; China RoHS,Sistemas de seguridad; intercomunicador/PA; audio/altavoz; controles de potencia limitada; ambientes ruidosos,,,,"Cable de control marca Belden, referencia 6504FE. Especificaciones: 22 AWG, 6 conductores, apantallado, régimen de voltaje 300 V.",
566-8762MN-100-08,"Belden 8762MN — Cable de control 20 AWG, 2 conductores, apantallado",Cables de control,,Belden,20,2,300 V,Sí,Polyvinyl Chloride (PVC),UL AWM 2937; NEC CM; CEC CM; UL 1685; IEC 60332-1-2; CPR Eca; EU CE Mark; RoHS,"Audio, control e instrumentación; apto para aplicaciones NFPA 79",,,,"Cable de control marca Belden, referencia 8762MN. Especificaciones: 20 AWG, 2 conductores, apantallado, régimen de voltaje 300 V.",
566-5502FE-U500-08,"Belden 5502FE — Cable de control 22 AWG, 4 conductores, apantallado",Cables de control,,Belden,22,4,300 V,Sí,Polyvinyl Chloride (PVC),NEC CMR; CEC CMG; UL 1666 Riser; FT4; CPR Euroclass Eca; EU CE Mark; RoHS,Sistemas de seguridad y alarma; intercomunicador/PA; audio/sonido,,,,"Cable de control marca Belden, referencia 5502FE. Especificaciones: 22 AWG, 4 conductores, apantallado, régimen de voltaje 300 V.",
566-76103WS-100-08,"Belden 76103WS — Cable apantallado 26 AWG, 3 conductores",Cables especiales,Cables apantallados,Belden,26,3,300 V,Sí,"Polyvinyl Chloride (PVC), Oil Resistant",NEC CMG; UL AWM 2661; EU CE Mark; REACH; RoHS 2,"Cable de alta flexión continua para automatización industrial; ejes lineales, robots y portaenergías (MachFlex)",,,,"Cable apantallado marca Belden, referencia 76103WS. Especificaciones: 26 AWG, 3 conductores, régimen de voltaje 300 V.",
566-8779MN008100,"Belden 8779MN — Cable de control 22 AWG, 8 conductores, apantallado",Cables de control,,Belden,22,8,300 V,Sí,Polyvinyl Chloride (PVC),UL AWM 2937; FT2; EU CE Mark; RoHS 2,"Audio, control e instrumentación en espacios reducidos (SpaceMaker); apto para aplicaciones NFPA 79",,,,"Cable de control marca Belden, referencia 8779MN. Especificaciones: 22 AWG, 8 conductores, apantallado, régimen de voltaje 300 V.",
566-88723-1000,"Belden 88723 — Cable de instrumentación 22 AWG, 4 conductores, apantallado",Cables especiales,Cables de instrumentación,Belden,22,4,300 V,Sí,Fluorinated Ethylene Propylene (FEP),NEC Art. 800 CMP; CEC CMP; NFPA 262 (UL 910); FT6; IEC 60332-1-2; CPR Eca; EU CE Mark; REACH; RoHS,"Ambientes de temperatura extrema (alta/baja); resistente a químicos; aplicaciones exteriores y enterradas; señales analógicas de bajo voltaje (4-20 mA, 0-10 V); control digital de bajo voltaje (24 V); audio de nivel de línea; comunicaciones de voz; cableado de panel",,,,"Cable de instrumentación marca Belden, referencia 88723. Especificaciones: 22 AWG, 4 conductores, apantallado, régimen de voltaje 300 V.",
566-3105A-500,"Belden 3105A — Cable de instrumentación 22 AWG, 2 conductores, apantallado",Cables especiales,Cables de instrumentación,Belden,22,2,300 V,Sí,Polyvinyl Chloride (PVC),NEC CM/PLTC; EU CE Mark; RoHS; resistente a luz solar y aceite,"RS-485; ambientes industriales severos; IIoT; automatización de fábrica/proceso; video, audio y comunicaciones de datos",,,,"Cable de instrumentación marca Belden, referencia 3105A. Especificaciones: 22 AWG, 2 conductores, apantallado, régimen de voltaje 300 V.",
