sku,nombre,categoria,subcategoria,marca,calibre_awg,num_conductores,voltaje,apantallado,chaqueta,norma,aplicacion,potencia_hp,voltaje_entrada,serie,descripcion_corta,imagen,descripcion_larga,unidad_venta,temperatura_maxima
SRT-ALAMBRE-12-AMARILLO-ROLLO,Alambre THHN/THWN-2 Centelsa 12 AWG amarillo - rollo 100 m,Cable THHN / THWN-2,,Centelsa by Nexans,12,1,600 V,No,Nylon,UL 83; NTC 1332,Alambrado de edificaciones; circuitos alimentadores y ramales,,,THHN/THWN-2 600 V,"Alambre de cobre sólido 12 AWG con aislamiento PVC y cubierta de nylon. 600 V y 90 °C para sitios secos, húmedos y mojados.",,"<p>Conductor de cobre suave sólido 12 AWG con aislamiento de PVC retardante a la llama y cubierta de nylon. La ficha oficial indica 600 V y 90 °C para sitios secos, húmedos y mojados.</p><p>Aplicación documentada: alambrado de edificaciones, circuitos alimentadores y ramales. Normas publicadas: UL 83 y NTC 1332. Esta variante se identifica por aislamiento amarillo.</p>",rollo de 100 m,90 °C
SRT-ALAMBRE-12-AZUL-ROLLO,Alambre THHN/THWN-2 Centelsa 12 AWG azul - rollo 100 m,Cable THHN / THWN-2,,Centelsa by Nexans,12,1,600 V,No,Nylon,UL 83; NTC 1332,Alambrado de edificaciones; circuitos alimentadores y ramales,,,THHN/THWN-2 600 V,"Alambre de cobre sólido 12 AWG con aislamiento PVC y cubierta de nylon. 600 V y 90 °C para sitios secos, húmedos y mojados.",,"<p>Conductor de cobre suave sólido 12 AWG con aislamiento de PVC retardante a la llama y cubierta de nylon. La ficha oficial indica 600 V y 90 °C para sitios secos, húmedos y mojados.</p><p>Aplicación documentada: alambrado de edificaciones, circuitos alimentadores y ramales. Normas publicadas: UL 83 y NTC 1332. Esta variante se identifica por aislamiento azul.</p>",rollo de 100 m,90 °C
SRT-ALAMBRE-12-BLANCO-ROLLO,Alambre THHN/THWN-2 Centelsa 12 AWG blanco - rollo 100 m,Cable THHN / THWN-2,,Centelsa by Nexans,12,1,600 V,No,Nylon,UL 83; NTC 1332,Alambrado de edificaciones; circuitos alimentadores y ramales,,,THHN/THWN-2 600 V,"Alambre de cobre sólido 12 AWG con aislamiento PVC y cubierta de nylon. 600 V y 90 °C para sitios secos, húmedos y mojados.",,"<p>Conductor de cobre suave sólido 12 AWG con aislamiento de PVC retardante a la llama y cubierta de nylon. La ficha oficial indica 600 V y 90 °C para sitios secos, húmedos y mojados.</p><p>Aplicación documentada: alambrado de edificaciones, circuitos alimentadores y ramales. Normas publicadas: UL 83 y NTC 1332. Esta variante se identifica por aislamiento blanco.</p>",rollo de 100 m,90 °C
SRT-ALAMBRE-12-NEGRO-ROLLO,Alambre THHN/THWN-2 Centelsa 12 AWG negro - rollo 100 m,Cable THHN / THWN-2,,Centelsa by Nexans,12,1,600 V,No,Nylon,UL 83; NTC 1332,Alambrado de edificaciones; circuitos alimentadores y ramales,,,THHN/THWN-2 600 V,"Alambre de cobre sólido 12 AWG con aislamiento PVC y cubierta de nylon. 600 V y 90 °C para sitios secos, húmedos y mojados.",,"<p>Conductor de cobre suave sólido 12 AWG con aislamiento de PVC retardante a la llama y cubierta de nylon. La ficha oficial indica 600 V y 90 °C para sitios secos, húmedos y mojados.</p><p>Aplicación documentada: alambrado de edificaciones, circuitos alimentadores y ramales. Normas publicadas: UL 83 y NTC 1332. Esta variante se identifica por aislamiento negro.</p>",rollo de 100 m,90 °C
SRT-ALAMBRE-12-ROJO-ROLLO,Alambre THHN/THWN-2 Centelsa 12 AWG rojo - rollo 100 m,Cable THHN / THWN-2,,Centelsa by Nexans,12,1,600 V,No,Nylon,UL 83; NTC 1332,Alambrado de edificaciones; circuitos alimentadores y ramales,,,THHN/THWN-2 600 V,"Alambre de cobre sólido 12 AWG con aislamiento PVC y cubierta de nylon. 600 V y 90 °C para sitios secos, húmedos y mojados.",,"<p>Conductor de cobre suave sólido 12 AWG con aislamiento de PVC retardante a la llama y cubierta de nylon. La ficha oficial indica 600 V y 90 °C para sitios secos, húmedos y mojados.</p><p>Aplicación documentada: alambrado de edificaciones, circuitos alimentadores y ramales. Normas publicadas: UL 83 y NTC 1332. Esta variante se identifica por aislamiento rojo.</p>",rollo de 100 m,90 °C
SRT-ALAMBRE-12-VERDE-ROLLO,Alambre THHN/THWN-2 Centelsa 12 AWG verde - rollo 100 m,Cable THHN / THWN-2,,Centelsa by Nexans,12,1,600 V,No,Nylon,UL 83; NTC 1332,Alambrado de edificaciones; circuitos alimentadores y ramales,,,THHN/THWN-2 600 V,"Alambre de cobre sólido 12 AWG con aislamiento PVC y cubierta de nylon. 600 V y 90 °C para sitios secos, húmedos y mojados.",,"<p>Conductor de cobre suave sólido 12 AWG con aislamiento de PVC retardante a la llama y cubierta de nylon. La ficha oficial indica 600 V y 90 °C para sitios secos, húmedos y mojados.</p><p>Aplicación documentada: alambrado de edificaciones, circuitos alimentadores y ramales. Normas publicadas: UL 83 y NTC 1332. Esta variante se identifica por aislamiento verde.</p>",rollo de 100 m,90 °C
SRT-ALAMBRE-14-AMARILLO-METRO,Alambre THHN/THWN-2 Centelsa 14 AWG amarillo - por metro,Cable THHN / THWN-2,,Centelsa by Nexans,14,1,600 V,No,Nylon,UL 83; NTC 1332,Alambrado de edificaciones; circuitos alimentadores y ramales,,,THHN/THWN-2 600 V,"Alambre de cobre sólido 14 AWG con aislamiento PVC y cubierta de nylon. 600 V y 90 °C para sitios secos, húmedos y mojados.",,"<p>Conductor de cobre suave sólido 14 AWG con aislamiento de PVC retardante a la llama y cubierta de nylon. La ficha oficial indica 600 V y 90 °C para sitios secos, húmedos y mojados.</p><p>Aplicación documentada: alambrado de edificaciones, circuitos alimentadores y ramales. Normas publicadas: UL 83 y NTC 1332. Esta variante se identifica por aislamiento amarillo.</p>",metro,90 °C
SRT-ALAMBRE-14-AZUL-METRO,Alambre THHN/THWN-2 Centelsa 14 AWG azul - por metro,Cable THHN / THWN-2,,Centelsa by Nexans,14,1,600 V,No,Nylon,UL 83; NTC 1332,Alambrado de edificaciones; circuitos alimentadores y ramales,,,THHN/THWN-2 600 V,"Alambre de cobre sólido 14 AWG con aislamiento PVC y cubierta de nylon. 600 V y 90 °C para sitios secos, húmedos y mojados.",,"<p>Conductor de cobre suave sólido 14 AWG con aislamiento de PVC retardante a la llama y cubierta de nylon. La ficha oficial indica 600 V y 90 °C para sitios secos, húmedos y mojados.</p><p>Aplicación documentada: alambrado de edificaciones, circuitos alimentadores y ramales. Normas publicadas: UL 83 y NTC 1332. Esta variante se identifica por aislamiento azul.</p>",metro,90 °C
SRT-ALAMBRE-14-BLANCO-METRO,Alambre THHN/THWN-2 Centelsa 14 AWG blanco - por metro,Cable THHN / THWN-2,,Centelsa by Nexans,14,1,600 V,No,Nylon,UL 83; NTC 1332,Alambrado de edificaciones; circuitos alimentadores y ramales,,,THHN/THWN-2 600 V,"Alambre de cobre sólido 14 AWG con aislamiento PVC y cubierta de nylon. 600 V y 90 °C para sitios secos, húmedos y mojados.",,"<p>Conductor de cobre suave sólido 14 AWG con aislamiento de PVC retardante a la llama y cubierta de nylon. La ficha oficial indica 600 V y 90 °C para sitios secos, húmedos y mojados.</p><p>Aplicación documentada: alambrado de edificaciones, circuitos alimentadores y ramales. Normas publicadas: UL 83 y NTC 1332. Esta variante se identifica por aislamiento blanco.</p>",metro,90 °C
SRT-ALAMBRE-14-NEGRO-METRO,Alambre THHN/THWN-2 Centelsa 14 AWG negro - por metro,Cable THHN / THWN-2,,Centelsa by Nexans,14,1,600 V,No,Nylon,UL 83; NTC 1332,Alambrado de edificaciones; circuitos alimentadores y ramales,,,THHN/THWN-2 600 V,"Alambre de cobre sólido 14 AWG con aislamiento PVC y cubierta de nylon. 600 V y 90 °C para sitios secos, húmedos y mojados.",,"<p>Conductor de cobre suave sólido 14 AWG con aislamiento de PVC retardante a la llama y cubierta de nylon. La ficha oficial indica 600 V y 90 °C para sitios secos, húmedos y mojados.</p><p>Aplicación documentada: alambrado de edificaciones, circuitos alimentadores y ramales. Normas publicadas: UL 83 y NTC 1332. Esta variante se identifica por aislamiento negro.</p>",metro,90 °C
