sku_surtilec,estado,familia_revisada,marca_confirmada,referencia_fabricante,fuente_oficial,motivo,siguiente_paso
SRT-ALAMBRE-12-AMARILLO-ROLLO,verificada,Alambres THHN/THWN-2 600 V RoHS,Centelsa by Nexans,200303,https://www.nexans.co/es/products/Construcci%C3%B3n/Cables-de-Cobre-de-Baja-Tensi%C3%B3n-Aislados/Alambre-THHN-THWN-2/Wire-Type-24145.html,"Coincidencia exacta de calibre, conductores y construcción publicada por el fabricante.",Importar en lote verificado; imagen propia o autorizada pendiente.
SRT-ALAMBRE-12-AZUL-ROLLO,verificada,Alambres THHN/THWN-2 600 V RoHS,Centelsa by Nexans,200303,https://www.nexans.co/es/products/Construcci%C3%B3n/Cables-de-Cobre-de-Baja-Tensi%C3%B3n-Aislados/Alambre-THHN-THWN-2/Wire-Type-24145.html,"Coincidencia exacta de calibre, conductores y construcción publicada por el fabricante.",Importar en lote verificado; imagen propia o autorizada pendiente.
SRT-ALAMBRE-12-BLANCO-ROLLO,verificada,Alambres THHN/THWN-2 600 V RoHS,Centelsa by Nexans,200303,https://www.nexans.co/es/products/Construcci%C3%B3n/Cables-de-Cobre-de-Baja-Tensi%C3%B3n-Aislados/Alambre-THHN-THWN-2/Wire-Type-24145.html,"Coincidencia exacta de calibre, conductores y construcción publicada por el fabricante.",Importar en lote verificado; imagen propia o autorizada pendiente.
SRT-ALAMBRE-12-NEGRO-ROLLO,verificada,Alambres THHN/THWN-2 600 V RoHS,Centelsa by Nexans,200303,https://www.nexans.co/es/products/Construcci%C3%B3n/Cables-de-Cobre-de-Baja-Tensi%C3%B3n-Aislados/Alambre-THHN-THWN-2/Wire-Type-24145.html,"Coincidencia exacta de calibre, conductores y construcción publicada por el fabricante.",Importar en lote verificado; imagen propia o autorizada pendiente.
SRT-ALAMBRE-12-ROJO-ROLLO,verificada,Alambres THHN/THWN-2 600 V RoHS,Centelsa by Nexans,200303,https://www.nexans.co/es/products/Construcci%C3%B3n/Cables-de-Cobre-de-Baja-Tensi%C3%B3n-Aislados/Alambre-THHN-THWN-2/Wire-Type-24145.html,"Coincidencia exacta de calibre, conductores y construcción publicada por el fabricante.",Importar en lote verificado; imagen propia o autorizada pendiente.
SRT-ALAMBRE-12-VERDE-ROLLO,verificada,Alambres THHN/THWN-2 600 V RoHS,Centelsa by Nexans,200303,https://www.nexans.co/es/products/Construcci%C3%B3n/Cables-de-Cobre-de-Baja-Tensi%C3%B3n-Aislados/Alambre-THHN-THWN-2/Wire-Type-24145.html,"Coincidencia exacta de calibre, conductores y construcción publicada por el fabricante.",Importar en lote verificado; imagen propia o autorizada pendiente.
SRT-ALAMBRE-14-AMARILLO-METRO,verificada,Alambres THHN/THWN-2 600 V RoHS,Centelsa by Nexans,200300,https://www.nexans.co/es/products/Construcci%C3%B3n/Cables-de-Cobre-de-Baja-Tensi%C3%B3n-Aislados/Alambre-THHN-THWN-2/Wire-Type-24145.html,"Coincidencia exacta de calibre, conductores y construcción publicada por el fabricante.",Importar en lote verificado; imagen propia o autorizada pendiente.
SRT-ALAMBRE-14-AZUL-METRO,verificada,Alambres THHN/THWN-2 600 V RoHS,Centelsa by Nexans,200300,https://www.nexans.co/es/products/Construcci%C3%B3n/Cables-de-Cobre-de-Baja-Tensi%C3%B3n-Aislados/Alambre-THHN-THWN-2/Wire-Type-24145.html,"Coincidencia exacta de calibre, conductores y construcción publicada por el fabricante.",Importar en lote verificado; imagen propia o autorizada pendiente.
SRT-ALAMBRE-14-BLANCO-METRO,verificada,Alambres THHN/THWN-2 600 V RoHS,Centelsa by Nexans,200300,https://www.nexans.co/es/products/Construcci%C3%B3n/Cables-de-Cobre-de-Baja-Tensi%C3%B3n-Aislados/Alambre-THHN-THWN-2/Wire-Type-24145.html,"Coincidencia exacta de calibre, conductores y construcción publicada por el fabricante.",Importar en lote verificado; imagen propia o autorizada pendiente.
SRT-ALAMBRE-14-NEGRO-METRO,verificada,Alambres THHN/THWN-2 600 V RoHS,Centelsa by Nexans,200300,https://www.nexans.co/es/products/Construcci%C3%B3n/Cables-de-Cobre-de-Baja-Tensi%C3%B3n-Aislados/Alambre-THHN-THWN-2/Wire-Type-24145.html,"Coincidencia exacta de calibre, conductores y construcción publicada por el fabricante.",Importar en lote verificado; imagen propia o autorizada pendiente.
SRT-ALAMBRE-14-ROJO-METRO,verificada,Alambres THHN/THWN-2 600 V RoHS,Centelsa by Nexans,200300,https://www.nexans.co/es/products/Construcci%C3%B3n/Cables-de-Cobre-de-Baja-Tensi%C3%B3n-Aislados/Alambre-THHN-THWN-2/Wire-Type-24145.html,"Coincidencia exacta de calibre, conductores y construcción publicada por el fabricante.",Importar en lote verificado; imagen propia o autorizada pendiente.
SRT-ALAMBRE-14-VERDE-METRO,verificada,Alambres THHN/THWN-2 600 V RoHS,Centelsa by Nexans,200300,https://www.nexans.co/es/products/Construcci%C3%B3n/Cables-de-Cobre-de-Baja-Tensi%C3%B3n-Aislados/Alambre-THHN-THWN-2/Wire-Type-24145.html,"Coincidencia exacta de calibre, conductores y construcción publicada por el fabricante.",Importar en lote verificado; imagen propia o autorizada pendiente.
SRT-ALAMBRE-12-AMARILLO-METRO,verificada,Alambres THHN/THWN-2 600 V RoHS,Centelsa by Nexans,200303,https://www.nexans.co/es/products/Construcci%C3%B3n/Cables-de-Cobre-de-Baja-Tensi%C3%B3n-Aislados/Alambre-THHN-THWN-2/Wire-Type-24145.html,"Coincidencia exacta de calibre, conductores y construcción publicada por el fabricante.",Importar en lote verificado; imagen propia o autorizada pendiente.
SRT-ALAMBRE-12-AZUL-METRO,verificada,Alambres THHN/THWN-2 600 V RoHS,Centelsa by Nexans,200303,https://www.nexans.co/es/products/Construcci%C3%B3n/Cables-de-Cobre-de-Baja-Tensi%C3%B3n-Aislados/Alambre-THHN-THWN-2/Wire-Type-24145.html,"Coincidencia exacta de calibre, conductores y construcción publicada por el fabricante.",Importar en lote verificado; imagen propia o autorizada pendiente.
SRT-ALAMBRE-12-BLANCO-METRO,verificada,Alambres THHN/THWN-2 600 V RoHS,Centelsa by Nexans,200303,https://www.nexans.co/es/products/Construcci%C3%B3n/Cables-de-Cobre-de-Baja-Tensi%C3%B3n-Aislados/Alambre-THHN-THWN-2/Wire-Type-24145.html,"Coincidencia exacta de calibre, conductores y construcción publicada por el fabricante.",Importar en lote verificado; imagen propia o autorizada pendiente.
SRT-ALAMBRE-12-NEGRO-METRO,verificada,Alambres THHN/THWN-2 600 V RoHS,Centelsa by Nexans,200303,https://www.nexans.co/es/products/Construcci%C3%B3n/Cables-de-Cobre-de-Baja-Tensi%C3%B3n-Aislados/Alambre-THHN-THWN-2/Wire-Type-24145.html,"Coincidencia exacta de calibre, conductores y construcción publicada por el fabricante.",Importar en lote verificado; imagen propia o autorizada pendiente.
SRT-ALAMBRE-12-ROJO-METRO,verificada,Alambres THHN/THWN-2 600 V RoHS,Centelsa by Nexans,200303,https://www.nexans.co/es/products/Construcci%C3%B3n/Cables-de-Cobre-de-Baja-Tensi%C3%B3n-Aislados/Alambre-THHN-THWN-2/Wire-Type-24145.html,"Coincidencia exacta de calibre, conductores y construcción publicada por el fabricante.",Importar en lote verificado; imagen propia o autorizada pendiente.
SRT-ALAMBRE-12-VERDE-METRO,verificada,Alambres THHN/THWN-2 600 V RoHS,Centelsa by Nexans,200303,https://www.nexans.co/es/products/Construcci%C3%B3n/Cables-de-Cobre-de-Baja-Tensi%C3%B3n-Aislados/Alambre-THHN-THWN-2/Wire-Type-24145.html,"Coincidencia exacta de calibre, conductores y construcción publicada por el fabricante.",Importar en lote verificado; imagen propia o autorizada pendiente.
SRT-ENCAU-5x8AWG-CU,verificada,Termoflex MP,Procables,31370269501,https://co.prysmian.com/sites/co.prysmian.com/files/media/documents/FT%20TERMOFLEX%20MP_COL_1.pdf,"Coincidencia exacta de calibre, conductores y construcción publicada por el fabricante.",Importar en lote verificado; imagen propia o autorizada pendiente.
SRT-ENCAU-5x10AWG-CU,verificada,Termoflex MP,Procables,31370249501,https://co.prysmian.com/sites/co.prysmian.com/files/media/documents/FT%20TERMOFLEX%20MP_COL_1.pdf,"Coincidencia exacta de calibre, conductores y construcción publicada por el fabricante.",Importar en lote verificado; imagen propia o autorizada pendiente.
SRT-ENCAU-5x12AWG-CU,verificada,Termoflex MP,Procables,31370229501,https://co.prysmian.com/sites/co.prysmian.com/files/media/documents/FT%20TERMOFLEX%20MP_COL_1.pdf,"Coincidencia exacta de calibre, conductores y construcción publicada por el fabricante.",Importar en lote verificado; imagen propia o autorizada pendiente.
SRT-ENCAU-5x14AWG-CU,verificada,Termoflex MP,Procables,31371392501,https://co.prysmian.com/sites/co.prysmian.com/files/media/documents/FT%20TERMOFLEX%20MP_COL_1.pdf,"Coincidencia exacta de calibre, conductores y construcción publicada por el fabricante.",Importar en lote verificado; imagen propia o autorizada pendiente.
SRT-ENCAU-2x8-CU,verificada,Termoflex MP,Procables,31370269201,https://co.prysmian.com/sites/co.prysmian.com/files/media/documents/FT%20TERMOFLEX%20MP_COL_1.pdf,"Coincidencia exacta de calibre, conductores y construcción publicada por el fabricante.",Importar en lote verificado; imagen propia o autorizada pendiente.
SRT-ENCAU-2x10-CU,verificada,Termoflex MP,Procables,31370249201,https://co.prysmian.com/sites/co.prysmian.com/files/media/documents/FT%20TERMOFLEX%20MP_COL_1.pdf,"Coincidencia exacta de calibre, conductores y construcción publicada por el fabricante.",Importar en lote verificado; imagen propia o autorizada pendiente.
SRT-ENCAU-2x12-CU,verificada,Termoflex MP,Procables,31370229201,https://co.prysmian.com/sites/co.prysmian.com/files/media/documents/FT%20TERMOFLEX%20MP_COL_1.pdf,"Coincidencia exacta de calibre, conductores y construcción publicada por el fabricante.",Importar en lote verificado; imagen propia o autorizada pendiente.
SRT-ENCAU-2x14-CU,verificada,Termoflex MP,Procables,31371392001,https://co.prysmian.com/sites/co.prysmian.com/files/media/documents/FT%20TERMOFLEX%20MP_COL_1.pdf,"Coincidencia exacta de calibre, conductores y construcción publicada por el fabricante.",Importar en lote verificado; imagen propia o autorizada pendiente.
SRT-ENCAU-2x16-CU,verificada,Termoflex MP,Procables,31371391001,https://co.prysmian.com/sites/co.prysmian.com/files/media/documents/FT%20TERMOFLEX%20MP_COL_1.pdf,"Coincidencia exacta de calibre, conductores y construcción publicada por el fabricante.",Importar en lote verificado; imagen propia o autorizada pendiente.
SRT-ENCAU-2x18-CU,verificada,Termoflex MP,Procables,31371390001,https://co.prysmian.com/sites/co.prysmian.com/files/media/documents/FT%20TERMOFLEX%20MP_COL_1.pdf,"Coincidencia exacta de calibre, conductores y construcción publicada por el fabricante.",Importar en lote verificado; imagen propia o autorizada pendiente.
SRT-ENCAU-3x8-CU,verificada,Termoflex MP,Procables,31370269301,https://co.prysmian.com/sites/co.prysmian.com/files/media/documents/FT%20TERMOFLEX%20MP_COL_1.pdf,"Coincidencia exacta de calibre, conductores y construcción publicada por el fabricante.",Importar en lote verificado; imagen propia o autorizada pendiente.
SRT-CTRL-7x12AWG-CU-PVC,pendiente,Cable de control 600 V,,,https://co.prysmian.com/sites/co.prysmian.com/files/media/documents/FT-ALAMBRES-THHN.pdf,Configuración 7 x 12 AWG sin referencia de fabricante confirmada.,Conseguir ficha oficial que publique exactamente la misma composición antes de importar.
SRT-CTRL-2x14-20AWG-CU-PVC-600V,pendiente,Cable de control 600 V,,,https://co.prysmian.com/sites/co.prysmian.com/files/media/documents/FT-ALAMBRES-THHN.pdf,La composición incluye un conductor adicional de 20 AWG que no aparece en la ficha revisada.,Conseguir ficha oficial que publique exactamente la misma composición antes de importar.
SRT-CTRL-4x14-20AWG-CU-PVC-600V,pendiente,Cable de control 600 V,,,https://co.prysmian.com/sites/co.prysmian.com/files/media/documents/FT-ALAMBRES-THHN.pdf,La composición incluye un conductor adicional de 20 AWG que no aparece en la ficha revisada.,Conseguir ficha oficial que publique exactamente la misma composición antes de importar.
SRT-CTRL-6x14-20AWG-CU-PVC-600V,pendiente,Cable de control 600 V,,,https://co.prysmian.com/sites/co.prysmian.com/files/media/documents/FT-ALAMBRES-THHN.pdf,La composición incluye un conductor adicional de 20 AWG que no aparece en la ficha revisada.,Conseguir ficha oficial que publique exactamente la misma composición antes de importar.
SRT-CTRL-9x14-20AWG-CU-PVC-600V,pendiente,Cable de control 600 V,,,https://co.prysmian.com/sites/co.prysmian.com/files/media/documents/FT-ALAMBRES-THHN.pdf,La composición incluye un conductor adicional de 20 AWG que no aparece en la ficha revisada.,Conseguir ficha oficial que publique exactamente la misma composición antes de importar.
SRT-CTRL-2x12-20AWG-CU-PVC-600V,pendiente,Cable de control 600 V,,,https://co.prysmian.com/sites/co.prysmian.com/files/media/documents/FT-ALAMBRES-THHN.pdf,La composición incluye un conductor adicional de 20 AWG que no aparece en la ficha revisada.,Conseguir ficha oficial que publique exactamente la misma composición antes de importar.
SRT-CTRL-4x12-20AWG-CU-PVC-600V,pendiente,Cable de control 600 V,,,https://co.prysmian.com/sites/co.prysmian.com/files/media/documents/FT-ALAMBRES-THHN.pdf,La composición incluye un conductor adicional de 20 AWG que no aparece en la ficha revisada.,Conseguir ficha oficial que publique exactamente la misma composición antes de importar.
SRT-CTRL-6x12-20AWG-CU-PVC-600V,pendiente,Cable de control 600 V,,,https://co.prysmian.com/sites/co.prysmian.com/files/media/documents/FT-ALAMBRES-THHN.pdf,La composición incluye un conductor adicional de 20 AWG que no aparece en la ficha revisada.,Conseguir ficha oficial que publique exactamente la misma composición antes de importar.
SRT-CTRL-9x12-20AWG-CU-PVC-600V,pendiente,Cable de control 600 V,,,https://co.prysmian.com/sites/co.prysmian.com/files/media/documents/FT-ALAMBRES-THHN.pdf,La composición incluye un conductor adicional de 20 AWG que no aparece en la ficha revisada.,Conseguir ficha oficial que publique exactamente la misma composición antes de importar.
SRT-CTRL-2x10-20AWG-CU-PVC-600V,pendiente,Cable de control 600 V,,,https://co.prysmian.com/sites/co.prysmian.com/files/media/documents/FT-ALAMBRES-THHN.pdf,La composición incluye un conductor adicional de 20 AWG que no aparece en la ficha revisada.,Conseguir ficha oficial que publique exactamente la misma composición antes de importar.
SRT-CTRL-4x10-20AWG-CU-PVC-600V,pendiente,Cable de control 600 V,,,https://co.prysmian.com/sites/co.prysmian.com/files/media/documents/FT-ALAMBRES-THHN.pdf,La composición incluye un conductor adicional de 20 AWG que no aparece en la ficha revisada.,Conseguir ficha oficial que publique exactamente la misma composición antes de importar.
SRT-CTRL-9x10-20AWG-CU-PVC-600V,pendiente,Cable de control 600 V,,,https://co.prysmian.com/sites/co.prysmian.com/files/media/documents/FT-ALAMBRES-THHN.pdf,La composición incluye un conductor adicional de 20 AWG que no aparece en la ficha revisada.,Conseguir ficha oficial que publique exactamente la misma composición antes de importar.
SRT-ENCAU-7x16AWG-CU,pendiente,Termoflex MP,,,https://co.prysmian.com/sites/co.prysmian.com/files/media/documents/FT%20TERMOFLEX%20MP_COL_1.pdf,La tabla Termoflex MP revisada no publica 7 conductores en 16 AWG.,Conseguir ficha oficial que publique exactamente la misma composición antes de importar.
SRT-ENCAU-7x14AWG-CU,pendiente,Termoflex MP,,,https://co.prysmian.com/sites/co.prysmian.com/files/media/documents/FT%20TERMOFLEX%20MP_COL_1.pdf,La tabla Termoflex MP revisada no publica 7 conductores en 14 AWG.,Conseguir ficha oficial que publique exactamente la misma composición antes de importar.
SRT-ENCAU-7x10AWG-CU,pendiente,Termoflex MP,,,https://co.prysmian.com/sites/co.prysmian.com/files/media/documents/FT%20TERMOFLEX%20MP_COL_1.pdf,La tabla Termoflex MP revisada no publica 7 conductores en 10 AWG.,Conseguir ficha oficial que publique exactamente la misma composición antes de importar.
SRT-ENCAU-6x18AWG-CU,pendiente,Termoflex MP,,,https://co.prysmian.com/sites/co.prysmian.com/files/media/documents/FT%20TERMOFLEX%20MP_COL_1.pdf,La tabla Termoflex MP revisada no publica 6 conductores en 18 AWG.,Conseguir ficha oficial que publique exactamente la misma composición antes de importar.
SRT-ENCAU-6x16AWG-CU,pendiente,Termoflex MP,,,https://co.prysmian.com/sites/co.prysmian.com/files/media/documents/FT%20TERMOFLEX%20MP_COL_1.pdf,La tabla Termoflex MP revisada no publica 6 conductores en 16 AWG.,Conseguir ficha oficial que publique exactamente la misma composición antes de importar.
SRT-ENCAU-6x14AWG-CU,pendiente,Termoflex MP,,,https://co.prysmian.com/sites/co.prysmian.com/files/media/documents/FT%20TERMOFLEX%20MP_COL_1.pdf,La tabla Termoflex MP revisada no publica 6 conductores en 14 AWG.,Conseguir ficha oficial que publique exactamente la misma composición antes de importar.
SRT-ENCAU-6x12AWG-CU,pendiente,Termoflex MP,,,https://co.prysmian.com/sites/co.prysmian.com/files/media/documents/FT%20TERMOFLEX%20MP_COL_1.pdf,La tabla Termoflex MP revisada no publica 6 conductores en 12 AWG.,Conseguir ficha oficial que publique exactamente la misma composición antes de importar.
SRT-ENCAU-5x18AWG-CU,pendiente,Termoflex MP,,,https://co.prysmian.com/sites/co.prysmian.com/files/media/documents/FT%20TERMOFLEX%20MP_COL_1.pdf,La tabla Termoflex MP revisada no publica 5 conductores en 18 AWG.,Conseguir ficha oficial que publique exactamente la misma composición antes de importar.
SRT-ENCAU-5x16AWG-CU,pendiente,Termoflex MP,,,https://co.prysmian.com/sites/co.prysmian.com/files/media/documents/FT%20TERMOFLEX%20MP_COL_1.pdf,La tabla Termoflex MP revisada no publica 5 conductores en 16 AWG.,Conseguir ficha oficial que publique exactamente la misma composición antes de importar.
